player,PA_TBF,team,draft_year
Adam Kolarek,0,b_clemens,2024
Daulton Jefferies,42,b_clemens,2024
Peyton Battenfield,0,b_clemens,2024
Jack O'Loughlin,47,b_clemens,2024
Enoli Paredes,87,b_clemens,2024
Rangel Ravelo,0,b_clemens,2024
Tucker Barnhart,96,b_clemens,2024
Drew Carlton,0,b_clemens,2024
Gilberto Celestino,0,b_clemens,2024
Ricky Vanasco,6,m_rowley,2024
Austin Adams,191,m_rowley,2024
Daz Cameron,186,m_rowley,2024
Trayce Thompson,0,m_rowley,2024
Jared Koenig,265,m_rowley,2024
Trey Wingenter,28,m_rowley,2024
Brian O'Keefe,0,m_rowley,2024
Hoy Park,0,m_rowley,2024
Brewer Hicklen,5,m_rowley,2024
Sergio Alcantara,0,m_rowley,2024
