IDfg,Season,Age,G,PA
16424,2019,25,85,261
20437,2023,24,58,239
13613,2021,27,90,374
6184,2023,35,113,479
11609,2019,27,105,409
11899,2022,30,134,433
5827,2023,31,126,454
9952,2022,31,80,255
18607,2021,27,144,585
23003,2023,24,104,377
23667,2021,20,70,308
18564,2020,23,59,252
15464,2022,30,125,522
16472,2022,29,156,672
20126,2021,22,149,619
18401,2022,24,119,533
20036,2022,23,111,381
16622,2022,25,119,472
25764,2022,22,150,632
19470,2023,28,137,528
19997,2022,27,135,491
9874,2020,31,50,216
13624,2020,26,52,232
12546,2021,31,142,547
15172,2020,27,49,221
2151,2019,36,109,486
11737,2019,27,151,664
24618,2023,26,96,335
3711,2019,32,149,459
22275,2023,27,141,540
13620,2019,24,111,365
13602,2021,29,106,375
5760,2021,30,135,515
4940,2023,33,124,377
22263,2023,23,119,464
25976,2023,22,99,416
16622,2021,24,150,570
5235,2022,37,128,532
14225,2019,28,149,611
14551,2022,27,152,647
4940,2019,29,147,589
10950,2021,32,146,555
12532,2022,31,134,497
21622,2022,24,99,354
10047,2021,30,146,500
14854,2021,30,139,532
22664,2023,23,111,380
23667,2022,21,83,344
8202,2021,33,138,558
13185,2023,28,139,533
18900,2023,24,143,554
14735,2021,27,119,292
9785,2021,33,159,670
22799,2023,23,144,495
22581,2023,24,123,422
18401,2020,22,46,202
10047,2020,29,55,218
20003,2019,22,84,348
10264,2023,35,103,404
13145,2021,28,144,568
16472,2019,26,160,705
19627,2023,28,137,526
14274,2021,30,157,691
12564,2021,28,142,595
17696,2019,25,130,531
3473,2021,31,141,576
16153,2022,29,125,325
17901,2022,27,126,521
23312,2023,27,128,495
16375,2019,24,115,482
11265,2021,29,156,674
12037,2023,33,133,424
20043,2022,24,98,401
19599,2022,27,119,407
16219,2023,30,144,546
15172,2022,29,79,351
6609,2019,29,147,589
9627,2021,33,103,375
12144,2021,28,121,490
25768,2023,22,151,614
10847,2019,29,103,424
12037,2022,32,102,404
11489,2021,30,142,528
10155,2021,29,36,146
18882,2020,25,56,224
9218,2020,32,58,231
15161,2021,30,68,243
16478,2019,26,155,610
15161,2023,32,87,344
3410,2019,35,144,508
11442,2019,26,106,446
16478,2022,29,155,669
17027,2019,23,106,377
18314,2020,26,60,264
21865,2023,23,67,230
10324,2019,28,130,549
4106,2021,34,121,508
13757,2019,28,124,414
11200,2019,31,152,632
19326,2023,28,145,640
17975,2019,25,126,500
13145,2022,29,156,647
17678,2021,27,91,400
11265,2019,27,121,464
19599,2021,26,108,320
11739,2023,32,135,540
11902,2019,26,139,550
11477,2022,30,154,671
