IDfg,Season,Age,G,PA,TBF
1012473,1994,32,103,403,
1007334,1993,25,141,555,
411,1997,30,153,642,
54,1993,28,142,585,
546,1997,28,130,478,
899,1994,26,111,463,
1003010,1994,32,69,292,
1001638,1995,30,126,539,
469,1997,26,146,623,
1006131,1996,35,92,317,
1009386,1995,39,113,480,
77,1996,30,105,455,
1009818,1993,30,141,547,
1002318,1995,31,123,537,
194,1995,36,112,487,
1093,1996,27,125,469,
1009209,1996,31,142,594,
1001168,1997,34,153,648,
1003619,1994,31,84,386,
1130,1996,31,136,533,
1001989,1995,31,117,426,
1005006,1995,31,120,525,
1003322,1995,27,99,394,
659,1996,28,154,670,
1391,1997,31,149,648,
1008160,1997,32,145,573,
1102,1995,26,119,440,
584,1997,31,128,471,
1008686,1993,25,153,685,
1000801,1996,27,158,684,
1088,1993,28,148,663,
1044,1993,26,127,495,
609,1993,24,153,685,
1012186,1993,38,141,603,
114,1995,26,63,274,
1001638,1994,29,101,436,
1001918,1995,30,102,450,
1000434,1993,34,118,480,
1003041,1997,37,140,567,
1012939,1993,32,152,637,
1009040,1996,39,161,729,
1006257,1993,29,116,402,
1005935,1996,31,127,481,
457,1997,31,160,672,
1011730,1995,33,132,570,
1302,1995,28,110,389,
1129,1993,25,138,563,
302,1997,28,162,694,
1009151,1995,29,127,550,
1006174,1993,33,85,289,
1000205,1993,31,110,421,
1006964,1993,29,131,511,
1009608,1993,34,134,532,
1005269,1994,26,101,375,
1000434,1995,36,127,459,
923,1996,30,40,164,
1003041,1996,36,145,623,
114,1997,28,135,582,
1012176,1993,37,103,284,
1013554,1994,36,113,466,
1044,1994,27,109,482,
1003010,1997,35,136,485,
1007905,1996,32,112,419,
464,1997,27,151,620,
1168,1996,28,155,671,
1009959,1993,33,116,405,
55,1995,27,133,541,
1168,1993,25,109,464,
1011411,1993,33,117,503,
1003854,1995,28,113,408,
1013077,1995,26,100,391,
1004706,1997,30,145,606,
1004570,1993,23,139,609,
653,1996,26,153,696,
1275,1993,21,137,519,
226,1995,25,138,557,
114,1994,25,87,384,
1009601,1996,26,123,516,
84,1995,27,139,571,
1000910,1995,29,103,348,
1005166,1995,35,135,577,
169,1997,30,125,523,
1009209,1994,29,112,483,
1000900,1994,29,96,391,
1012282,1997,31,146,513,
1008946,1993,31,102,343,
1001638,1993,28,158,675,
770,1994,22,110,467,
1009660,1995,23,119,360,
1001464,1995,25,134,540,
1006117,1993,33,123,471,
1003242,1995,32,121,418,
1616,1997,24,114,418,
1010157,1995,34,133,557,
1005376,1993,33,147,573,
54,1994,29,94,417,
1012473,1993,31,104,420,
1005525,1995,30,141,589,
