key_fangraphs,internal_id,Season,Age,G,pa_tbf,PA,TBF
6576,4869,2018,28,32,166,0,166
18313,4597,2019,24,6,103,1,103
22165,5052,2024,25,17,49,49,0
7432,2629,2021,33,23,90,1,90
6008,4774,2015,25,10,30,30,0
14288,3793,2019,28,32,199,0,199
15006,3780,2018,27,15,91,0,91
3237,5353,2024,35,79,235,0,235
10053,2156,2016,28,18,50,50,0
5109,1948,2014,31,23,107,0,107
10843,49,2017,28,12,40,0,40
19921,547,2023,26,67,168,168,0
16350,4971,2023,29,38,152,0,152
16128,2933,2024,31,3,12,0,12
10925,1088,2017,29,13,230,1,230
11012,3502,2017,28,26,135,3,135
9059,2928,2015,32,60,250,0,250
14412,2857,2019,28,1,1,1,0
6050,4269,2018,29,27,60,60,0
13527,620,2019,27,44,196,0,196
15792,4838,2020,25,5,21,0,21
6499,530,2021,34,1,7,0,7
5097,377,2021,30,6,24,0,24
20802,330,2022,25,2,11,0,11
2802,5490,2018,31,9,26,26,0
11266,3649,2017,27,10,172,8,172
15051,5266,2022,29,3,18,0,18
5408,2489,2014,25,24,92,92,0
6166,3666,2015,32,19,64,0,64
10855,1006,2023,32,50,193,0,193
17381,4032,2022,29,11,50,0,50
20298,2793,2021,24,3,59,0,59
13058,4775,2021,29,11,65,0,65
9856,648,2018,31,2,6,6,0
11875,4936,2018,26,62,206,206,0
17766,1286,2023,29,58,185,185,0
7870,3003,2021,35,7,23,23,0
15156,4452,2020,28,1,0,0,0
14844,3939,2020,29,1,3,0,3
12825,2890,2016,27,22,276,18,276
14169,3593,2019,27,15,102,0,102
5200,3440,2016,28,2,17,0,17
19666,2571,2022,29,18,321,0,321
13331,5783,2018,27,9,84,0,84
17109,4054,2022,25,26,75,75,0
15068,5870,2022,28,33,135,0,135
5172,637,2018,34,7,36,0,36
16686,2618,2021,27,41,82,82,0
16572,1212,2021,28,63,211,211,0
6938,1869,2021,34,4,12,12,0
7216,950,2019,28,44,147,147,0
5257,5800,2017,27,3,22,0,22
12174,3066,2021,28,7,12,12,0
10286,2008,2018,28,41,106,106,13
21871,2697,2024,26,35,119,119,0
8353,1506,2015,28,1,1,1,0
12022,3916,2024,34,4,26,0,26
6880,4400,2015,26,14,24,24,0
16357,4517,2021,27,53,87,87,0
263,1362,2014,31,1,14,0,14
4359,3553,2016,28,1,11,0,11
13132,300,2020,30,1,4,4,0
10767,3605,2017,27,85,122,122,0
18454,5555,2022,29,18,107,0,107
7960,2040,2016,32,14,69,1,69
15964,3467,2020,26,11,42,0,42
10700,5012,2017,28,3,8,8,0
7349,5170,2021,36,3,2,2,0
19205,2746,2023,29,26,377,0,377
19977,5545,2023,28,6,2,2,0
13788,3996,2020,29,3,11,11,0
13897,5613,2022,31,62,174,174,0
10706,5139,2018,30,1,5,0,5
15157,2828,2023,31,7,62,0,62
5000,5304,2022,37,70,191,191,0
13905,5204,2019,28,14,33,33,0
16201,3355,2024,31,56,242,0,242
20132,60,2024,29,8,189,0,189
11241,4189,2018,30,1,1,1,0
6248,20,2015,30,3,33,2,33
18376,1220,2021,27,9,63,1,63
15654,528,2023,28,48,147,147,0
12997,1201,2018,25,11,49,0,49
9646,725,2019,30,10,29,0,29
16209,2485,2021,28,10,43,1,43
5422,5321,2017,28,2,8,8,0
6204,5234,2015,33,7,142,0,142
18186,2518,2022,29,7,37,0,37
7423,5220,2017,29,30,88,88,0
16306,2118,2023,30,8,49,0,49
16357,4518,2023,29,64,185,185,13
8790,1174,2016,29,23,27,27,0
18395,5512,2023,26,10,37,37,0
12510,1272,2018,29,52,156,156,0
16455,1208,2021,26,24,121,0,121
12545,1640,2018,28,5,56,2,56
1159,296,2020,34,2,4,4,0
20450,697,2024,28,3,5,5,0
14137,5441,2019,25,41,128,128,0
4086,1903,2014,28,7,28,0,28
7803,4796,2016,29,23,92,0,92
20023,4817,2022,28,6,35,0,35
7432,2627,2015,27,6,20,0,20
6564,569,2014,31,2,4,4,0
11294,5967,2023,34,14,124,0,124
4994,1981,2021,35,16,82,0,82
19516,4748,2022,30,2,21,0,21
16375,4492,2023,28,20,32,32,0
