IDfg,Season,Age,G,TBF
10982,2017,28,41,238
16137,2017,24,12,297
9492,2017,32,60,267
8490,2016,28,37,152
1797,2014,34,73,286
13442,2016,25,60,227
9674,2014,26,31,679
13758,2017,26,56,310
4662,2016,32,10,171
3555,2017,33,50,252
12580,2016,26,23,506
177,2015,40,45,175
8362,2016,30,6,111
6865,2015,30,32,144
1918,2014,37,64,152
18806,2017,26,37,151
6576,2018,28,32,166
1247,2016,30,34,107
13685,2017,25,56,221
11449,2018,29,56,247
1370,2014,28,67,177
15232,2018,25,17,188
4878,2014,23,38,301
5003,2018,31,71,243
8493,2015,24,10,220
9346,2018,33,35,122
12876,2015,24,13,76
16110,2018,26,11,132
6612,2014,28,73,196
18655,2017,23,16,60
9939,2016,31,54,224
13607,2016,24,36,138
18064,2018,25,45,214
13892,2017,27,57,275
17695,2017,24,23,80
5057,2014,28,16,241
3580,2014,33,31,761
6329,2014,29,32,855
10547,2016,27,32,807
3201,2016,32,31,731
4878,2015,24,53,206
9388,2015,30,10,251
12730,2015,24,24,558
16980,2018,25,22,476
12804,2016,23,27,671
2038,2014,29,28,592
510,2014,34,20,475
12235,2014,25,73,317
1852,2016,35,63,270
8476,2014,24,63,417
4026,2014,26,30,544
1345,2016,30,70,330
9417,2015,29,15,243
15514,2015,24,21,502
7608,2014,27,22,519
1994,2015,28,17,413
10185,2014,23,28,501
9654,2015,26,45,222
8110,2014,26,80,313
9325,2017,31,67,244
7853,2017,31,9,178
12580,2015,25,15,352
12022,2017,27,18,374
14975,2018,25,16,373
3201,2018,34,27,586
13594,2017,24,25,383
12972,2017,24,13,323
13361,2015,24,6,149
12572,2016,28,73,263
36,2015,28,66,189
12297,2014,24,57,210
11964,2018,28,18,135
3237,2014,25,37,255
13323,2018,27,60,211
8844,2015,29,66,239
14843,2018,26,45,344
10343,2014,26,71,283
6398,2018,28,24,103
494,2018,41,68,285
6984,2015,28,72,304
15855,2018,26,40,200
5640,2018,33,73,285
18806,2018,27,71,272
12863,2016,26,62,287
3862,2016,27,13,222
17466,2018,24,17,344
5985,2014,24,47,339
10982,2014,25,24,330
13442,2015,24,47,151
2873,2014,33,54,218
16086,2018,25,52,174
6941,2015,31,72,272
1437,2016,38,51,204
1514,2014,32,68,256
7005,2015,26,27,119
2882,2016,26,27,82
3551,2016,32,36,306
19618,2018,21,73,339
16162,2018,25,19,176
13183,2015,22,6,139
13475,2015,22,13,251
16201,2018,25,57,241
9817,2018,35,73,284
7541,2016,31,9,208
7947,2016,30,56,197
2332,2014,38,69,265
8823,2017,30,64,251
9033,2016,28,70,297
1478,2015,27,16,328
9178,2015,25,13,280
3284,2017,33,28,482
13688,2017,25,5,89
6033,2018,28,48,184
14843,2016,24,35,202
7773,2018,34,54,190
4682,2016,35,60,185
12854,2015,23,40,151
4001,2017,26,53,245
11632,2017,28,62,271
9866,2016,29,30,124
13071,2017,31,9,132
5003,2015,28,67,260
11720,2016,27,68,225
12938,2017,24,9,147
1514,2015,33,70,183
7558,2016,32,34,163
2233,2018,36,8,181
9239,2017,30,66,260
3895,2015,24,30,121
13183,2018,25,13,280
16162,2017,24,8,184
14706,2017,23,8,115
14739,2018,24,6,119
14741,2017,27,30,77
15094,2016,24,8,66
11712,2015,26,35,132
6612,2016,30,70,215
2646,2015,28,58,206
10534,2014,26,67,307
2170,2014,35,58,213
9486,2017,32,65,278
8048,2014,24,78,286
15091,2018,24,29,179
16086,2016,23,42,160
16588,2017,24,37,171
14375,2018,26,66,264
9178,2014,24,7,164
14605,2017,30,43,211
16814,2018,28,70,198
8532,2014,28,40,147
12555,2018,28,30,95
7293,2017,37,53,211
8823,2018,31,44,209
12323,2016,26,27,106
16207,2018,25,4,69
7024,2014,30,27,671
6986,2015,30,30,713
6895,2016,28,31,647
5861,2015,33,57,206
3543,2016,31,37,588
2047,2016,35,27,614
8173,2018,32,21,422
13449,2017,26,69,237
19341,2018,29,47,370
7396,2014,28,22,570
978,2014,37,14,357
16358,2018,23,23,507
1767,2014,33,32,687
1118,2018,34,28,627
375,2018,45,28,628
375,2017,44,28,648
6432,2014,32,44,273
13696,2018,24,68,345
10021,2014,26,25,637
3374,2014,30,25,553
3340,2015,31,26,666
3192,2015,30,68,276
5766,2016,25,37,144
8044,2015,32,9,183
6316,2014,27,32,497
7624,2015,32,59,243
8782,2016,29,28,588
14542,2017,24,35,149
9756,2015,27,17,346
13431,2015,24,4,103
6697,2015,28,28,125
5975,2015,34,59,260
583,2014,35,62,225
11632,2016,27,38,223
1906,2014,36,61,196
5088,2015,29,67,258
5358,2015,26,64,283
10534,2015,27,62,220
7555,2016,29,60,247
3551,2015,31,23,181
9073,2017,30,62,231
6435,2015,27,23,310
8501,2017,30,52,215
6324,2015,29,67,271
3862,2014,25,19,441
1837,2014,34,66,282
9761,2016,28,20,188
12691,2016,26,24,414
2203,2014,31,62,292
11903,2017,24,46,218
8245,2014,31,68,199
2385,2014,29,61,218
7385,2017,32,52,242
8258,2015,31,62,255
8410,2016,27,44,220
729,2015,42,42,162
2895,2016,28,53,233
14295,2017,25,69,263
11828,2015,26,13,297
14457,2018,28,52,202
12022,2015,25,25,282
12580,2017,27,37,229
8137,2014,27,7,177
9111,2014,24,32,474
2170,2015,36,60,202
15594,2017,26,38,182
10925,2015,27,30,286
14542,2016,23,63,246
18,2015,27,48,212
1918,2015,38,60,171
16794,2018,25,6,91
17130,2018,28,66,291
2895,2017,29,50,249
9346,2015,30,5,126
1937,2014,35,22,79
15594,2018,27,32,148
15051,2018,25,31,129
8110,2016,28,75,275
10078,2014,27,54,206
494,2016,39,67,283
12691,2015,25,9,149
16511,2018,25,6,116
15502,2018,23,8,159
10591,2018,28,73,268
12572,2015,27,60,280
8073,2015,28,53,244
7169,2015,31,58,253
16929,2018,22,7,123
10197,2017,26,4,99
17085,2018,22,10,247
12638,2017,29,9,188
6785,2018,33,37,154
12317,2015,24,6,133
10240,2015,26,6,120
7196,2018,32,56,212
14741,2018,28,43,118
10587,2017,28,9,200
19753,2018,23,9,108
6398,2016,26,44,187
1247,2015,29,10,35
10796,2014,27,47,104
13796,2016,25,3,40
9080,2016,28,25,114
16358,2017,22,4,92
9490,2014,26,32,135
13743,2018,24,14,142
13762,2015,24,6,130
4264,2018,33,41,174
9943,2014,29,42,314
11479,2016,25,5,107
3873,2014,24,6,99
4279,2015,32,40,130
2660,2016,29,54,157
4676,2016,32,4,71
11449,2017,28,40,215
2237,2017,35,32,178
9425,2018,34,12,289
4264,2017,32,32,130
5070,2016,30,37,158
15010,2016,24,35,145
3548,2014,25,9,143
13345,2018,26,16,195
14697,2016,23,27,151
9346,2014,29,13,148
16918,2016,22,9,167
12938,2016,23,10,88
8493,2016,25,14,318
14682,2018,25,12,217
7525,2016,30,12,49
3271,2015,27,12,42
11203,2016,28,25,101
8044,2016,33,3,47
8504,2014,27,30,100
5830,2016,27,46,269
4891,2017,38,79,243
3321,2018,35,20,83
12580,2018,28,67,214
5358,2017,28,64,203
11388,2016,26,12,58
13834,2018,26,7,71
13394,2016,25,12,72
12760,2015,24,5,46
1514,2017,35,50,143
16731,2018,26,13,170
4001,2015,24,23,140
13475,2018,25,11,200
12988,2016,26,32,98
2929,2016,28,30,564
12804,2015,22,20,478
4371,2017,30,30,695
4772,2018,32,29,685
5705,2015,31,15,333
8245,2015,32,65,190
12876,2017,26,45,173
11437,2018,26,60,266
9948,2016,31,51,176
9059,2016,33,68,289
9761,2014,26,17,415
4772,2017,31,16,368
1137,2014,32,37,497
5070,2017,31,57,223
10234,2015,28,67,277
15240,2018,26,65,293
10291,2018,30,68,263
7175,2018,33,50,145
13360,2018,26,71,271
715,2014,39,61,308
5985,2016,26,79,337
12730,2014,23,29,610
17030,2018,22,12,241
14814,2017,26,11,219
15033,2014,22,43,122
7947,2017,31,68,285
17233,2016,25,32,142
9486,2014,29,24,125
15594,2016,25,48,213
10133,2017,29,30,121
12918,2018,25,76,296
7312,2015,29,44,499
13323,2017,26,59,240
14272,2018,27,38,434
1157,2015,28,58,249
2391,2017,29,61,237
12235,2015,26,76,270
6249,2017,29,21,381
9111,2015,25,38,408
10836,2017,28,25,279
10756,2015,26,18,373
11710,2014,26,31,181
15474,2017,22,7,179
2237,2015,33,68,268
4682,2018,37,30,101
11712,2018,29,31,155
5420,2016,28,73,295
6893,2018,32,9,214
7396,2017,31,18,212
9817,2017,34,55,224
3299,2015,30,49,166
4259,2016,31,70,322
6832,2018,31,63,216
13293,2016,26,35,193
15551,2017,26,27,395
1890,2015,26,12,278
4732,2017,32,27,568
10925,2014,26,10,249
6398,2014,24,10,213
14697,2015,22,7,143
15118,2017,25,11,37
15671,2015,29,19,102
4300,2015,32,30,149
3237,2018,29,47,292
13188,2018,25,5,92
5498,2018,27,39,158
5070,2018,32,45,154
3555,2018,34,22,104
6499,2014,27,38,167
3731,2014,31,63,273
11836,2014,21,8,160
15042,2018,26,37,151
4994,2017,31,48,182
9736,2015,32,68,285
14524,2017,23,47,200
2237,2016,34,61,282
8350,2017,30,61,258
2882,2015,25,73,220
3599,2014,28,61,242
3397,2015,31,61,255
11449,2015,26,26,84
11294,2016,27,24,281
5975,2016,35,37,152
5114,2017,27,26,111
3656,2015,32,72,291
15451,2018,26,50,226
4971,2017,32,61,263
9073,2016,29,41,184
17425,2018,25,11,217
6612,2015,29,72,158
13361,2017,26,13,298
2859,2016,30,16,220
10039,2015,24,13,251
5766,2018,27,35,154
2010,2014,36,27,119
13688,2016,24,4,37
15915,2017,22,10,42
13420,2016,25,7,69
12237,2017,27,16,53
12027,2016,26,36,221
11596,2017,28,6,56
1351,2014,28,35,91
14093,2016,24,23,134
3096,2018,30,69,289
4620,2015,33,43,100
8855,2014,27,54,202
13322,2016,24,68,250
17755,2018,24,27,120
4994,2016,30,57,198
14706,2018,24,3,56
9309,2016,28,11,40
9674,2015,27,35,376
1581,2015,28,12,57
521,2014,37,62,235
17117,2018,25,32,151
5498,2016,25,43,182
11752,2018,26,35,184
12385,2014,23,4,91
15291,2017,25,11,162
13767,2016,25,25,100
5525,2017,32,38,91
18282,2017,24,68,225
10354,2015,24,3,65
13780,2018,27,56,173
11467,2016,24,8,168
11428,2014,25,19,378
2608,2014,26,11,272
11137,2014,26,10,238
12833,2016,26,7,117
7608,2018,31,5,118
15655,2018,24,17,294
7450,2016,30,12,259
5766,2017,26,21,76
14241,2017,26,13,67
16507,2016,23,15,48
10855,2014,23,15,50
9080,2017,29,7,28
16208,2014,21,7,28
7803,2016,29,23,92
7555,2015,28,26,100
6324,2017,31,21,71
4089,2014,28,66,238
5960,2014,29,58,209
12323,2018,28,49,217
3397,2014,30,36,142
2237,2014,32,32,160
12803,2014,23,17,86
5525,2015,30,60,168
9266,2014,23,5,80
11334,2014,26,11,155
15200,2018,26,15,176
7982,2015,27,33,272
10343,2018,30,59,183
9033,2018,30,26,114
10160,2015,24,5,109
10304,2017,27,7,114
15130,2018,24,5,59
15033,2016,24,29,70
10466,2015,26,4,77
5669,2015,25,4,102
11589,2017,25,34,724
6895,2018,30,30,644
14682,2016,23,35,662
7624,2014,31,73,405
3292,2014,27,33,733
19361,2018,23,30,152
6627,2014,28,46,254
11490,2015,22,41,380
19349,2018,21,29,202
2929,2014,26,21,548
6283,2016,33,40,338
11132,2016,28,23,509
5448,2017,33,38,586
8044,2018,35,20,404
1437,2015,37,67,254
4776,2017,30,14,326
4662,2018,34,15,339
3656,2017,34,61,256
12447,2016,26,17,260
10498,2014,25,66,247
5640,2015,30,69,301
14862,2015,25,9,150
3281,2018,34,56,180
6941,2016,32,70,293
3547,2015,25,17,333
9425,2015,31,25,449
9948,2017,32,68,220
5221,2017,32,50,283
7738,2015,26,20,478
1122,2014,39,62,259
10587,2018,29,27,518
3993,2014,24,11,259
17303,2017,21,32,249
11432,2017,28,32,136
19756,2018,34,75,262
9456,2017,30,71,268
4138,2015,31,35,250
15046,2015,22,48,202
13485,2018,25,36,165
11801,2015,24,57,217
10855,2017,26,44,198
5221,2016,31,19,252
9866,2015,28,36,177
17281,2018,24,12,181
4869,2015,25,16,395
4759,2015,31,66,257
9059,2018,35,50,233
3237,2017,28,43,241
7593,2016,25,40,273
11589,2016,24,28,373
9794,2017,29,27,105
6324,2014,28,72,236
13485,2017,24,37,171
8185,2018,33,20,223
8110,2015,27,74,265
11266,2014,24,5,83
9029,2018,30,47,223
11388,2017,27,60,265
12385,2016,25,13,296
4682,2015,34,66,223
11467,2017,25,11,229
7775,2014,33,34,359
4079,2016,30,53,208
6033,2017,27,64,259
3273,2015,34,20,357
9939,2018,33,70,263
10315,2016,26,65,315
10310,2017,27,17,386
13533,2018,29,9,182
12808,2016,25,17,233
12730,2017,26,23,478
12586,2016,26,18,328
1890,2018,29,39,471
1122,2016,41,10,28
7803,2017,30,57,265
13713,2015,25,25,98
11753,2014,22,6,41
6661,2014,25,5,97
13942,2016,26,14,91
9239,2018,31,59,245
4891,2016,37,50,191
2646,2014,27,63,226
7501,2016,31,63,187
12452,2017,27,28,143
8402,2015,27,70,269
6943,2016,32,40,151
3970,2014,30,64,253
7501,2015,30,64,207
3886,2016,33,28,124
10637,2015,28,39,122
14272,2017,26,5,121
13818,2017,27,13,145
7146,2017,30,71,271
7108,2015,30,26,119
3855,2015,25,8,171
10745,2016,26,45,197
10343,2015,27,60,186
5285,2014,30,35,443
9948,2015,30,72,235
813,2014,38,61,148
15290,2018,28,23,291
5640,2017,32,67,264
14527,2018,25,17,234
11189,2017,25,15,315
17034,2018,22,7,150
13560,2017,25,24,265
1852,2018,37,58,231
5842,2015,30,7,165
9559,2018,33,13,203
9803,2014,25,10,255
12799,2016,25,19,270
16017,2018,31,19,188
7836,2014,25,9,25
13172,2014,24,9,29
7841,2015,31,7,15
8476,2015,25,7,27
15100,2017,25,9,43
12361,2014,26,9,35
14361,2016,25,4,62
1663,2015,37,77,147
9392,2014,26,9,32
4696,2017,31,11,49
10326,2014,26,21,136
5508,2014,30,30,115
14200,2014,23,26,89
17811,2018,25,16,36
15240,2017,25,33,196
17987,2018,25,20,93
4168,2017,30,10,31
12876,2016,25,12,60
17677,2018,25,18,141
888,2015,30,18,162
16904,2017,28,3,37
4891,2015,36,22,44
9866,2018,31,61,203
14993,2018,25,6,65
13046,2015,34,8,136
6943,2015,31,49,214
13743,2017,23,9,121
13881,2015,28,14,98
5221,2014,29,11,121
8823,2016,29,14,74
8245,2016,33,64,220
10267,2016,29,10,35
13881,2014,27,16,48
3299,2017,32,49,257
14899,2018,26,56,236
12578,2018,28,7,27
13763,2018,26,29,106
4371,2014,27,13,281
1437,2017,39,52,213
18815,2018,23,11,85
13684,2016,23,20,222
13074,2018,31,8,180
12118,2015,23,7,57
999,2015,28,41,137
11804,2018,29,53,203
5224,2014,29,18,91
16155,2018,25,14,293
18790,2017,24,6,139
15038,2016,21,6,98
14527,2015,22,2,46
2010,2015,37,11,32
11903,2018,25,47,217
15033,2018,26,15,46
11479,2017,26,20,153
10706,2015,27,5,69
12520,2014,24,5,109
15042,2017,25,19,79
13211,2016,26,6,49
12963,2018,28,5,49
2868,2014,25,7,27
11166,2015,23,5,22
15306,2016,25,22,71
14506,2018,25,13,62
6244,2014,31,23,95
4300,2014,31,8,42
12857,2018,27,14,57
16390,2018,26,5,24
8073,2014,27,47,182
13172,2017,27,8,27
15068,2018,24,14,60
15264,2018,24,16,71
12774,2015,24,21,78
10982,2016,27,5,61
8185,2014,29,6,86
13398,2015,24,18,42
5679,2014,29,28,104
11487,2016,24,12,39
4782,2014,29,25,78
4544,2016,35,13,100
12890,2014,22,15,54
7982,2018,30,16,62
3762,2015,30,19,91
12095,2016,25,9,35
6955,2015,31,7,82
10591,2016,26,17,84
9286,2016,29,31,147
8004,2018,29,8,59
12988,2014,24,3,60
6780,2016,30,16,75
13403,2016,26,11,35
14711,2017,22,9,30
16440,2018,24,11,54
13974,2018,28,28,100
1351,2015,29,36,124
3192,2014,29,29,120
15179,2017,26,5,85
14309,2015,22,7,66
14986,2017,25,16,88
15293,2016,25,24,65
14353,2018,24,11,31
7942,2015,27,68,270
10078,2015,28,6,20
14932,2018,26,10,145
9174,2016,26,10,102
7396,2015,29,8,183
7942,2014,26,16,110
15010,2014,22,8,39
976,2015,38,8,161
12664,2018,27,3,26
12675,2016,27,12,86
16468,2018,25,4,65
7882,2017,30,4,51
2929,2017,29,7,152
4235,2016,33,31,767
15474,2018,23,32,775
3273,2014,33,32,722
921,2015,39,24,525
3220,2014,32,71,249
3132,2017,32,71,291
3815,2016,28,17,309
8180,2016,26,67,248
15264,2017,23,64,246
11132,2017,29,18,338
3374,2017,33,31,648
8992,2015,28,73,318
17526,2016,27,12,232
11754,2015,23,12,301
11716,2014,25,23,537
888,2014,29,26,573
14862,2016,26,27,335
19206,2018,23,26,118
2873,2015,34,67,244
8073,2018,31,72,271
9720,2018,32,51,217
14663,2015,23,14,280
10968,2016,28,13,287
11632,2018,29,67,260
2873,2017,36,63,259
4759,2016,32,66,259
12499,2018,29,32,154
126,2014,35,17,342
6983,2016,28,57,228
13699,2018,24,17,281
12586,2018,28,48,388
10811,2015,23,18,399
7450,2017,31,14,244
9975,2014,30,57,317
9325,2015,29,76,284
9486,2016,31,57,216
19341,2017,28,8,96
5420,2017,29,66,280
10500,2014,26,18,96
9492,2018,33,64,245
11334,2015,27,17,255
3321,2016,33,34,131
4971,2016,31,75,293
7355,2014,32,50,192
12360,2015,26,57,243
12027,2018,28,48,336
9080,2015,27,49,212
14814,2018,27,66,308
4301,2014,26,70,256
8346,2014,33,68,272
10341,2017,26,40,184
16348,2018,23,35,159
1011,2016,38,24,366
14239,2016,27,26,113
6176,2014,32,25,332
13774,2016,22,11,272
13470,2017,23,14,255
12272,2015,25,13,250
1368,2017,33,4,13
7501,2014,29,30,76
9195,2014,26,41,148
14239,2017,28,20,82
17233,2015,24,23,105
7407,2014,28,42,198
4055,2014,24,25,158
4696,2018,32,33,137
3240,2018,30,41,169
7274,2017,33,60,329
12249,2017,27,13,60
5224,2018,33,67,276
13767,2018,27,39,135
2608,2015,27,5,111
12235,2016,27,29,134
18684,2018,22,6,146
13293,2017,27,72,219
6435,2016,28,35,365
2873,2016,35,62,241
6483,2015,29,59,243
10171,2016,26,33,143
15306,2017,26,51,190
7947,2018,32,62,248
7411,2015,28,28,149
4620,2014,32,53,135
12555,2016,26,65,271
11384,2014,24,54,285
11752,2017,25,43,224
7005,2017,28,57,252
10946,2017,29,26,151
1514,2016,34,64,182
14391,2018,23,8,121
4313,2014,27,26,97
11592,2016,25,11,233
9243,2015,27,11,47
14244,2018,28,26,95
13050,2014,24,13,146
10234,2017,30,20,94
17418,2017,23,6,128
11384,2018,28,24,107
9137,2016,28,5,98
6435,2017,29,24,333
769,2014,37,13,223
11804,2014,25,1,3
11571,2015,24,4,19
13042,2016,26,7,25
15126,2017,22,1,23
7558,2014,30,7,33
12537,2018,28,8,36
10962,2016,26,2,21
15239,2017,26,28,121
6697,2016,29,15,64
1370,2015,29,33,82
15028,2018,25,27,119
9817,2016,33,40,117
1837,2015,35,34,149
7759,2014,33,20,77
7407,2017,31,16,88
7474,2015,29,40,204
7677,2015,26,19,60
11457,2015,26,18,94
6499,2016,29,21,112
14665,2016,23,14,60
9674,2016,28,55,247
10510,2016,26,68,182
15036,2018,24,4,74
12905,2015,25,18,190
13172,2018,28,18,64
13398,2014,23,19,53
813,2015,39,71,117
10354,2016,25,3,58
14867,2015,23,17,68
4064,2016,33,14,55
16208,2017,24,4,59
10982,2015,26,4,84
12804,2018,25,18,166
14016,2016,26,37,171
4338,2014,24,4,101
5224,2016,31,17,79
18403,2018,22,7,81
5679,2015,30,36,147
11589,2015,23,20,274
11341,2015,25,6,134
9918,2014,30,17,169
6249,2015,27,26,187
12997,2018,25,11,49
3895,2016,25,43,178
8580,2016,29,40,194
3397,2017,33,31,136
5766,2015,24,35,145
11457,2017,28,30,112
12870,2015,25,27,129
15467,2017,25,11,185
3547,2014,24,15,137
11350,2016,27,19,300
19990,2018,20,3,33
10835,2014,25,17,118
10938,2015,27,15,65
9417,2016,30,6,119
9119,2018,30,10,42
16155,2017,24,7,93
4359,2014,26,2,13
8728,2015,29,1,13
3547,2016,26,1,15
11449,2016,27,5,10
12237,2016,26,3,8
13150,2016,23,3,8
8258,2017,33,4,15
14765,2018,21,3,13
1397,2014,37,3,39
2951,2016,28,10,35
7758,2015,29,11,29
13580,2018,26,10,27
12185,2017,24,8,32
14200,2016,25,7,25
15051,2015,22,13,50
15046,2016,23,9,28
17526,2018,29,1,24
14524,2016,22,12,66
13346,2017,26,37,139
19330,2018,25,8,40
12857,2015,24,8,30
2692,2016,30,20,82
12253,2016,27,14,65
12562,2015,24,17,52
12777,2017,27,50,209
10160,2017,26,1,14
11479,2014,23,3,44
10258,2016,32,8,12
999,2014,27,7,31
9866,2017,30,12,44
7108,2018,33,15,57
5420,2014,26,20,92
3886,2015,32,7,55
11743,2017,26,12,58
14966,2017,24,7,29
10637,2017,30,4,15
12800,2017,27,12,49
16793,2017,24,17,75
8823,2015,28,13,72
10291,2016,28,20,85
15859,2018,25,10,40
9174,2018,28,7,104
13182,2017,24,30,134
13485,2015,22,14,65
17149,2017,24,7,62
2873,2018,37,26,132
12774,2014,23,5,24
13580,2016,24,16,58
15671,2016,30,10,44
11471,2014,25,2,46
12718,2018,25,7,59
7466,2015,29,10,61
4806,2014,34,16,29
11836,2018,25,3,56
16513,2018,24,3,23
12562,2017,26,7,25
5231,2015,28,10,55
13780,2017,26,55,160
6819,2015,26,54,259
15514,2014,23,5,18
14411,2016,24,3,10
10976,2016,28,26,101
6415,2015,25,8,46
15458,2018,25,4,31
15033,2015,23,31,74
2385,2015,30,9,51
3548,2018,29,25,104
16419,2018,24,5,50
10983,2014,25,8,39
1349,2014,28,32,145
14374,2016,22,7,105
1483,2014,26,9,43
6200,2016,31,4,42
16344,2017,22,18,92
4363,2016,35,15,63
9419,2017,29,10,32
14832,2017,25,7,36
4578,2014,25,1,24
10887,2016,27,8,46
15291,2016,24,8,166
11663,2016,25,5,34
3245,2014,31,6,33
12499,2014,25,3,34
7947,2015,29,7,13
14099,2016,24,7,154
6175,2017,27,18,135
5178,2017,31,6,31
12277,2014,26,6,33
2413,2015,27,16,88
4089,2015,29,49,148
13604,2014,24,10,50
9460,2015,26,4,76
13424,2014,23,1,20
5401,2015,27,1,22
14765,2017,20,5,102
12831,2016,25,12,84
10466,2014,25,5,124
13293,2015,25,14,72
11847,2015,29,24,99
16128,2018,25,8,30
10770,2015,25,14,193
11467,2015,23,3,44
13418,2015,24,1,31
10304,2016,26,13,268
13892,2018,28,46,253
16731,2017,25,4,52
6336,2014,28,6,36
7432,2015,27,6,20
14646,2018,25,10,38
13442,2018,27,3,18
11847,2014,28,16,69
6819,2017,28,8,45
19820,2018,23,10,38
10836,2015,26,5,79
12297,2018,28,10,37
11012,2018,29,5,41
2203,2015,32,6,36
16981,2018,25,2,40
12963,2017,27,4,26
12027,2014,24,2,35
12515,2014,25,3,45
8041,2016,33,2,12
11240,2016,28,9,42
8007,2016,28,6,45
11471,2015,26,3,46
14672,2017,25,6,27
6697,2018,31,4,25
10620,2015,25,1,18
7872,2016,29,1,27
3543,2017,32,2,40
6230,2017,32,2,45
7146,2014,27,3,13
10983,2016,27,4,19
9417,2018,32,1,25
3196,2014,35,30,688
5705,2014,30,33,673
6397,2017,27,28,604
9037,2015,27,67,264
17526,2017,28,31,678
7754,2017,32,29,671
8580,2018,31,51,215
521,2016,39,67,251
14957,2017,23,62,284
11592,2015,24,23,514
11428,2018,29,43,167
7293,2014,34,68,281
5535,2014,31,62,257
9460,2018,29,23,518
12385,2018,27,14,316
8173,2017,31,28,578
14696,2016,23,35,150
7738,2017,28,19,269
17295,2018,24,8,154
9884,2016,29,77,252
1841,2015,31,47,228
9756,2014,26,45,383
10133,2015,27,69,271
15467,2014,22,10,156
13345,2016,24,17,285
13133,2017,26,41,168
10756,2018,29,66,279
12520,2015,25,6,151
18311,2017,23,7,101
9037,2017,29,52,197
2047,2017,36,65,219
10688,2014,25,27,131
6175,2016,26,22,355
10534,2018,30,41,208
10285,2016,27,20,65
16130,2018,24,21,454
12022,2018,28,41,340
404,2014,33,8,209
1368,2016,32,45,190
3677,2014,29,40,189
8137,2018,31,33,369
9492,2015,30,38,377
13424,2015,24,20,106
11528,2015,26,35,120
6832,2014,27,44,169
9303,2014,28,5,72
10261,2016,32,36,148
6612,2017,31,64,137
10504,2014,25,50,204
11712,2016,27,36,157
14420,2017,23,7,101
15552,2016,25,12,198
7355,2015,33,48,166
13974,2017,27,49,177
2170,2016,37,44,152
14295,2018,26,59,227
7267,2014,32,51,211
12918,2015,22,8,161
6244,2015,32,48,181
10261,2014,30,27,122
11176,2015,26,15,351
13453,2016,25,17,293
11250,2015,26,20,79
1333,2014,27,6,30
4756,2014,33,1,3
9456,2014,27,1,3
5559,2015,30,1,1
9720,2015,29,4,11
8536,2017,30,1,4
1906,2015,37,32,124
17418,2018,24,7,28
9346,2016,31,18,68
9794,2015,27,17,46
17470,2018,24,14,58
9239,2014,27,18,109
7489,2014,28,7,18
1345,2018,32,13,47
8600,2016,34,55,279
11428,2017,28,33,162
17695,2018,25,21,71
11209,2015,24,1,19
12166,2015,26,20,111
12760,2014,23,10,194
18719,2017,34,62,264
5551,2014,28,4,84
11490,2017,24,8,167
14033,2018,28,2,36
10341,2016,25,11,47
13849,2015,23,3,50
15094,2018,26,6,26
8180,2017,27,46,172
14371,2018,24,9,76
14914,2017,25,9,47
13166,2016,26,6,33
13911,2016,26,24,113
10796,2016,29,16,45
6238,2015,27,4,45
8270,2014,26,10,55
10732,2016,25,9,104
976,2014,37,6,113
17553,2017,23,11,243
19482,2018,24,9,26
2170,2017,38,19,72
7407,2018,32,32,162
11468,2017,25,3,41
10044,2016,28,5,22
4684,2014,33,12,82
8362,2018,32,20,494
15179,2016,25,9,179
6984,2016,29,17,76
14165,2016,22,5,110
15047,2018,26,4,55
1795,2014,37,18,62
6865,2014,29,20,105
10606,2014,25,3,19
5746,2016,31,39,136
13150,2017,24,4,62
15524,2017,22,2,26
11440,2016,23,13,57
11486,2014,22,9,136
18510,2018,23,3,56
11543,2017,28,10,58
13276,2016,24,19,83
17878,2018,22,1,19
697,2014,28,1,4
1330,2014,27,3,19
1617,2014,37,1,1
2835,2014,28,3,15
3086,2014,28,1,3
3704,2014,34,1,4
4450,2014,30,2,4
5358,2014,25,2,3
5791,2014,26,1,4
6887,2014,27,1,4
7324,2014,31,1,3
7986,2014,32,1,4
8392,2014,27,1,1
8801,2014,24,2,7
9244,2014,26,1,12
10181,2014,23,1,6
10663,2014,24,1,8
10803,2014,25,1,2
1122,2015,40,1,1
1551,2015,38,2,6
1904,2015,35,1,3
2218,2015,34,1,4
2714,2015,34,1,4
3642,2015,31,1,10
4002,2015,27,2,7
4249,2015,30,1,4
4400,2015,34,1,1
5133,2015,33,1,5
5913,2015,24,1,5
6073,2015,33,1,8
6741,2015,26,2,3
6908,2015,30,1,4
7244,2015,28,1,3
7274,2015,31,5,17
7407,2015,29,3,7
7945,2015,25,1,5
7980,2015,26,2,11
8337,2015,28,1,8
8433,2015,28,2,8
8505,2015,29,6,19
9063,2015,26,1,1
9901,2015,28,1,7
10330,2015,24,6,13
11867,2015,27,4,12
12240,2015,26,1,11
12718,2015,22,2,8
13323,2015,24,11,21
1159,2016,30,1,4
3211,2016,28,1,5
3411,2016,32,2,5
6153,2016,27,1,4
9063,2016,27,1,1
9308,2016,28,1,2
9807,2016,28,1,5
10028,2016,24,2,10
10558,2016,26,1,6
10700,2016,27,1,5
11287,2016,28,1,4
11391,2016,27,1,3
12118,2016,24,1,13
12399,2016,26,1,2
13153,2016,23,1,3
13172,2016,26,3,11
