IDfg,Season,Age,G,PA,TBF
9256,2014-01-01,26,75,287,
3269,2018-01-01,35,80,348,
12907,2018-01-01,26,130,535,
2396,2017-01-01,31,154,667,
11489,2017-01-01,26,118,432,
4747,2016-01-01,35,150,633,
12282,2016-01-01,22,150,632,
3269,2017-01-01,34,150,648,
9893,2015-01-01,28,137,485,
9774,2017-01-01,26,99,345,
10059,2018-01-01,27,88,250,
12533,2018-01-01,27,159,703,
5384,2014-01-01,25,116,452,
10847,2016-01-01,26,124,483,
8722,2016-01-01,29,113,376,
11846,2016-01-01,28,143,576,
10762,2014-01-01,25,131,478,
4365,2014-01-01,27,98,246,
8001,2016-01-01,32,147,620,
6364,2015-01-01,30,105,378,
7287,2015-01-01,29,153,608,
6265,2015-01-01,33,142,445,
2434,2018-01-01,37,144,591,
15429,2018-01-01,26,102,457,
9892,2017-01-01,30,146,617,
5222,2018-01-01,30,145,613,
10472,2018-01-01,26,145,462,
13769,2018-01-01,22,75,291,
1857,2017-01-01,34,141,597,
13367,2016-01-01,25,153,649,
14145,2018-01-01,24,88,340,
10556,2017-01-01,27,128,577,
4579,2017-01-01,27,112,473,
14344,2018-01-01,24,162,660,
7949,2017-01-01,27,137,575,
3892,2015-01-01,28,149,582,
3269,2015-01-01,32,156,674,
7185,2016-01-01,29,127,567,
11038,2014-01-01,24,108,364,
4810,2015-01-01,31,135,535,
15172,2016-01-01,23,99,431,
12180,2018-01-01,25,108,377,
4579,2018-01-01,28,154,647,
11368,2014-01-01,25,128,443,
12984,2018-01-01,28,144,535,
5275,2016-01-01,30,101,393,
2505,2014-01-01,26,80,260,
19755,2018-01-01,23,114,367,
13329,2017-01-01,26,149,635,
1274,2015-01-01,39,151,620,
8090,2017-01-01,31,145,622,
9328,2014-01-01,29,132,424,
5209,2015-01-01,31,104,422,
7331,2014-01-01,31,136,521,
1177,2014-01-01,34,159,695,
13862,2016-01-01,25,101,432,
10950,2017-01-01,28,157,647,
11476,2017-01-01,25,138,563,
4467,2014-01-01,30,147,580,
8202,2017-01-01,29,128,542,
7007,2018-01-01,35,123,503,
12533,2016-01-01,25,159,621,
9927,2016-01-01,32,148,634,
5343,2014-01-01,27,153,564,
12976,2018-01-01,25,91,326,
1965,2014-01-01,27,123,542,
10199,2014-01-01,23,152,611,
639,2017-01-01,38,94,389,
2151,2017-01-01,34,157,669,
15362,2018-01-01,26,63,248,
5297,2017-01-01,27,88,361,
4892,2017-01-01,28,148,598,
14225,2017-01-01,26,152,570,
9112,2016-01-01,28,150,610,
9777,2014-01-01,23,111,467,
11003,2014-01-01,27,108,401,
5930,2018-01-01,34,162,705,
10816,2016-01-01,27,128,438,
9627,2018-01-01,30,112,435,
7539,2015-01-01,29,151,603,
6368,2016-01-01,30,152,672,
4962,2015-01-01,29,143,551,
7462,2015-01-01,29,152,632,
9166,2018-01-01,31,105,448,
12979,2016-01-01,23,142,450,
4579,2016-01-01,26,151,610,
6153,2014-01-01,25,133,465,
5343,2018-01-01,31,151,594,
6547,2016-01-01,29,149,584,
14106,2015-01-01,21,142,523,
10459,2015-01-01,26,130,499,
6184,2016-01-01,28,120,517,
10339,2017-01-01,27,141,497,
9953,2016-01-01,28,89,330,
7859,2018-01-01,31,156,696,
5631,2014-01-01,29,150,599,
11609,2016-01-01,24,76,283,
12155,2017-01-01,25,151,589,
16997,2018-01-01,21,123,484,
9256,2018-01-01,30,113,460,
7859,2015-01-01,28,157,682,
6012,2017-01-01,27,136,570,
12282,2015-01-01,21,120,470,
9134,2016-01-01,30,83,325,
4810,2017-01-01,33,97,399,
6012,2016-01-01,26,153,597,
7007,2017-01-01,34,136,543,
9927,2015-01-01,31,151,656,
4316,2014-01-01,29,143,642,
6195,2017-01-01,35,139,613,
791,2015-01-01,34,148,623,
8203,2017-01-01,29,158,695,
12532,2015-01-01,24,150,613,
9549,2014-01-01,31,134,511,
8722,2015-01-01,28,104,375,
3711,2017-01-01,30,138,551,
14128,2017-01-01,23,145,532,
8267,2017-01-01,34,89,316,
6589,2016-01-01,31,140,342,
12164,2017-01-01,24,114,483,
4062,2017-01-01,31,118,491,
14274,2017-01-01,26,96,410,
10264,2017-01-01,29,104,451,
9054,2018-01-01,31,147,594,
6878,2014-01-01,29,125,432,
11477,2015-01-01,23,126,525,
3531,2015-01-01,30,128,534,
1201,2014-01-01,32,105,370,
12282,2018-01-01,24,129,535,
12155,2015-01-01,23,122,474,
4922,2015-01-01,24,132,561,
4229,2015-01-01,31,117,495,
9368,2017-01-01,31,156,677,
13836,2018-01-01,27,132,560,
12144,2018-01-01,25,156,611,
12984,2017-01-01,27,133,541,
14712,2017-01-01,22,126,529,
15172,2018-01-01,25,153,606,
7007,2015-01-01,32,136,530,
9134,2015-01-01,29,112,361,
4866,2014-01-01,29,120,290,
3255,2015-01-01,32,59,189,
9744,2017-01-01,29,108,429,
15447,2016-01-01,24,72,283,
1737,2014-01-01,33,135,550,
11609,2017-01-01,25,117,428,
11737,2016-01-01,24,110,447,
7539,2016-01-01,30,113,458,
12546,2018-01-01,28,140,560,
9981,2016-01-01,29,140,558,
10762,2017-01-01,28,150,629,
8370,2015-01-01,31,93,425,
10950,2016-01-01,27,150,608,
2396,2014-01-01,28,152,660,
4191,2015-01-01,32,139,591,
16505,2017-01-01,24,84,326,
10324,2016-01-01,25,148,608,
11739,2016-01-01,25,137,545,
2396,2018-01-01,32,161,679,
3531,2016-01-01,31,131,544,
6848,2016-01-01,29,141,595,
11493,2014-01-01,21,82,354,
8628,2016-01-01,30,128,484,
5930,2014-01-01,30,155,710,
4866,2016-01-01,31,107,337,
14106,2017-01-01,23,110,385,
4712,2015-01-01,27,152,634,
5450,2014-01-01,31,113,408,
11602,2018-01-01,26,155,662,
14106,2018-01-01,24,130,465,
745,2014-01-01,38,142,602,
2530,2017-01-01,30,142,521,
13862,2015-01-01,24,62,238,
11270,2017-01-01,26,107,412,
16478,2018-01-01,25,137,510,
9911,2016-01-01,29,160,644,
15676,2016-01-01,29,159,695,
14225,2018-01-01,27,125,444,
3086,2015-01-01,29,132,515,
14128,2018-01-01,24,148,577,
5352,2016-01-01,28,109,443,
3353,2017-01-01,32,141,544,
10542,2016-01-01,26,128,412,
10815,2018-01-01,25,146,594,
4316,2015-01-01,30,130,538,
6867,2014-01-01,25,127,442,
950,2014-01-01,36,154,637,
9077,2016-01-01,30,103,434,
9549,2015-01-01,32,121,470,
4881,2015-01-01,29,115,477,
3708,2014-01-01,33,134,494,
10556,2018-01-01,28,161,708,
3892,2018-01-01,31,134,487,
9345,2014-01-01,26,106,492,
12907,2015-01-01,23,153,652,
6609,2018-01-01,28,162,656,
14344,2017-01-01,23,59,216,
7287,2016-01-01,30,150,632,
8610,2015-01-01,32,158,639,
11737,2017-01-01,25,157,665,
7539,2017-01-01,31,111,448,
9847,2018-01-01,31,155,682,
3057,2014-01-01,32,119,500,
12532,2017-01-01,26,108,411,
12907,2016-01-01,24,144,587,
4062,2014-01-01,28,116,505,
3892,2014-01-01,27,109,396,
2396,2015-01-01,29,154,666,
2900,2015-01-01,26,70,226,
4810,2016-01-01,32,130,492,
1738,2015-01-01,33,155,640,
11602,2017-01-01,25,141,534,
13185,2017-01-01,22,153,548,
12552,2016-01-01,24,159,627,
8722,2017-01-01,30,110,407,
14109,2018-01-01,24,152,479,
7087,2015-01-01,29,100,355,
8722,2014-01-01,27,126,512,
9774,2014-01-01,23,55,201,
16472,2017-01-01,24,50,212,
12164,2015-01-01,22,80,335,
13359,2016-01-01,25,116,365,
18015,2017-01-01,23,108,443,
589,2016-01-01,39,151,593,
6876,2016-01-01,30,159,667,
4613,2015-01-01,31,158,693,
8027,2015-01-01,31,149,572,
1904,2014-01-01,34,140,586,
19198,2017-01-01,33,139,564,
