player_name,team,fa_class,position,minor_league_level,first_name_lower,last_name_lower,normed_position
Bo Greenwell,Cleveland Indians,2013,OF,Hi A,bo,greenwell,batter
Jeremy Hermida,Cleveland Indians,2013,OF,AAA,jeremy,hermida,batter
Cedric Hunter,Cleveland Indians,2013,OF,AA,cedric,hunter,batter
Bobby Cassevah,Colorado Rockies,2013,RHP,AAA,bobby,cassevah,pitcher
Roman Colon,Colorado Rockies,2013,RHP,AAA,roman,colon,pitcher
Edgmer Escalona,Colorado Rockies,2013,RHP,AAA,edgmer,escalona,pitcher
Armando Galarraga,Colorado Rockies,2013,RHP,AAA,armando,galarraga,pitcher
Sean Gallagher,Colorado Rockies,2013,RHP,AAA,sean,gallagher,pitcher
Juan Gonzalez,Colorado Rockies,2013,RHP,AA,juan,gonzalez,pitcher
Tim Gustafson,Colorado Rockies,2013,RHP,AA,tim,gustafson,pitcher
Michael Marbry,Colorado Rockies,2013,RHP,AA,michael,marbry,pitcher
Vianney Mayo,Colorado Rockies,2013,RHP,SS,vianney,mayo,pitcher
Mike McClendon,Colorado Rockies,2013,RHP,AAA,mike,mcclendon,pitcher
Cory Riordan,Colorado Rockies,2013,RHP,AAA,cory,riordan,pitcher
Mike Solbach,Colorado Rockies,2013,RHP,AA,mike,solbach,pitcher
Isaiah Froneberger,Colorado Rockies,2013,LHP,AA,isaiah,froneberger,pitcher
Nick Schmidt,Colorado Rockies,2013,LHP,AAA,nick,schmidt,pitcher
Jonathan Vargas,Colorado Rockies,2013,LHP,SS,jonathan,vargas,pitcher
Lars Davis,Colorado Rockies,2013,C,AAA,lars,davis,batter
Jose Gonzalez,Colorado Rockies,2013,C,AAA,jose,gonzalez,batter
Matt McBride,Colorado Rockies,2013,C,AAA,matt,mcbride,batter
Michael Ramirez,Colorado Rockies,2013,C,Lo A,michael,ramirez,batter
Henry Wrigley,Colorado Rockies,2013,1B,AA,henry,wrigley,batter
Niko Gallego,Colorado Rockies,2013,2B,Hi A,niko,gallego,batter
Hernan Iribarren,Colorado Rockies,2013,2B,AAA,hernan,iribarren,batter
Reid Brignac,Colorado Rockies,2013,SS,AAA,reid,brignac,batter
Juan Crousset,Colorado Rockies,2013,OF,AA,juan,crousset,batter
Xavier Nady,Colorado Rockies,2013,OF,AAA,xavier,nady,batter
Shawn Hill,Detroit Tigers,2013,RHP,AAA,shawn,hill,pitcher
Jair Jurrjens,Detroit Tigers,2013,RHP,AAA,jair,jurrjens,pitcher
David Kopp,Detroit Tigers,2013,RHP,AA,david,kopp,pitcher
Victor Larez,Detroit Tigers,2013,RHP,AA,victor,larez,pitcher
Jon Link,Detroit Tigers,2013,RHP,AAA,jon,link,pitcher
Kelvin Perez,Detroit Tigers,2013,RHP,AA,kelvin,perez,pitcher
Justin Souza,Detroit Tigers,2013,RHP,AA,justin,souza,pitcher
Jess Todd,Detroit Tigers,2013,RHP,AAA,jess,todd,pitcher
Michael Torrealba,Detroit Tigers,2013,RHP,Hi A,michael,torrealba,pitcher
Ramon Garcia,Detroit Tigers,2013,LHP,AA,ramon,garcia,pitcher
