player_name,team,fa_class,position,minor_league_level
Jason Bergmann,Kansas City Royals,2014,RHP,AA
Santiago Garrido,Kansas City Royals,2014,RHP,AA
Devon Lowery*,Kansas City Royals,2014,RHP,AA
Clayton Mortensen,Kansas City Royals,2014,RHP,AAA
Julio Rodriguez,Kansas City Royals,2014,RHP,R
Sam Runion,Kansas City Royals,2014,RHP,AA
Brian Sanches,Kansas City Royals,2014,RHP,AAA
Leonel Santiago,Kansas City Royals,2014,RHP,Hi A
Zach Jackson,Kansas City Royals,2014,LHP,AAA
Mitch Canham,Kansas City Royals,2014,C,AAA
Manny Pina,Kansas City Royals,2014,C,AAA
Max Ramirez,Kansas City Royals,2014,C,AAA
Ben Broussard,Kansas City Royals,2014,1B,AAA
Chase Lambin,Kansas City Royals,2014,2B,AAA
Rey Navarro,Kansas City Royals,2014,2B,AAA
Lewis Urena,Kansas City Royals,2014,2B,R
Anthony Seratelli,Kansas City Royals,2014,3B,AAA
Sharlon Schoop*,Kansas City Royals,2014,SS,AA
Gorkys Hernandez,Kansas City Royals,2014,OF,AA
Charles Thomas*,Kansas City Royals,2014,OF,Hi A
Edinson Rincon,Kansas City Royals,2014,OF,AA
Orangel Arenas,Los Angeles Angels,2014,RHP,Hi A
Lay Batista,Los Angeles Angels,2014,RHP,AA
Fernando Cabrera,Los Angeles Angels,2014,RHP,AAA
Chad Cordero,Los Angeles Angels,2014,RHP,AAA
Manuarys Correa,Los Angeles Angels,2014,RHP,AA
Rob Delaney,Los Angeles Angels,2014,RHP,AAA
Barry Enright,Los Angeles Angels,2014,RHP,AAA
Brandon Hynick,Los Angeles Angels,2014,RHP,AA
Josh Judy,Los Angeles Angels,2014,RHP,AA
Jason Urquidez,Los Angeles Angels,2014,RHP,AAA
Dustin Richardson,Los Angeles Angels,2014,LHP,AAA
Dontrelle Willis,Los Angeles Angels,2014,LHP,AAA
Luke Carlin,Los Angeles Angels,2014,C,AAA
Luis Rodriguez,Los Angeles Angels,2014,2B,AAA
Rusty Ryal,Los Angeles Angels,2014,2B,AAA
Andy Marte,Los Angeles Angels,2014,3B,AAA
Jimmy Swift,Los Angeles Angels,2014,SS,AA
Julio Concepcion,Los Angeles Angels,2014,OF,Lo A
Cyle Hankerd,Los Angeles Angels,2014,OF,AA
Lou Montanez,Los Angeles Angels,2014,OF,AA
Trent Oeltjen,Los Angeles Angels,2014,OF,AAA
Robbie Widlansky,Los Angeles Angels,2014,OF,AA
Juan Abreu*,Los Angeles Dodgers,2014,RHP,AAA
Angel Castro,Los Angeles Dodgers,2014,RHP,AAA
Kyle Cofield,Los Angeles Dodgers,2014,RHP,AAA
