player_name,team,fa_class
Valentin Martinez,Cincinnati Reds,2021
Justin Miller,Cincinnati Reds,2021
Andrew Moore,Cincinnati Reds,2021
Francisco Pena,Cincinnati Reds,2021
Carlos Rivero,Cincinnati Reds,2021
Wyatt Strahan,Cincinnati Reds,2021
Andy Sugilio,Cincinnati Reds,2021
Nick Williams,Cincinnati Reds,2021
Rob Wooten,Cincinnati Reds,2021
Aneurys Zabala,Cincinnati Reds,2021
Argenis Angulo,Cleveland Indians,2021
Jodd Carter,Cleveland Indians,2021
Wilson Garcia,Cleveland Indians,2021
Kungkuan Giljegiljaw,Cleveland Indians,2021
Gianpaul Gonzalez,Cleveland Indians,2021
Anthony Gose,Cleveland Indians,2021
Henry Martinez,Cleveland Indians,2021
Andruw Monasterio,Cleveland Indians,2021
Anderson Polanco,Cleveland Indians,2021
Yojhan Quevedo,Cleveland Indians,2021
Jared Robinson,Cleveland Indians,2021
Cameron Rupp,Cleveland Indians,2021
Domingo Santana,Cleveland Indians,2021
Randy Valladares,Cleveland Indians,2021
Hunter Wood,Cleveland Indians,2021
Tim Collins,Colorado Rockies,2021
Joel Diaz,Colorado Rockies,2021
Mike Gerber,Colorado Rockies,2021
Nelson Gonzalez,Colorado Rockies,2021
Rayan Gonzalez,Colorado Rockies,2021
Alexander Guillen,Colorado Rockies,2021
Joe Harvey,Colorado Rockies,2021
Wes Parsons,Colorado Rockies,2021
Matt Pierpont,Colorado Rockies,2021
Zac Rosscup,Colorado Rockies,2021
Drew Weeks,Colorado Rockies,2021
Tim Adleman,Detroit Tigers,2021
Dario Agrazal,Detroit Tigers,2021
Jose Azocar,Detroit Tigers,2021
Sandy Baez,Detroit Tigers,2021
Jorge Bonifacio,Detroit Tigers,2021
Shao-Ching Chiang,Detroit Tigers,2021
Tom de Blok,Detroit Tigers,2021
Dawel Lugo,Detroit Tigers,2021
Alberoni Nunez,Detroit Tigers,2021
Jhon Nunez,Detroit Tigers,2021
Dereck Rodriguez,Detroit Tigers,2021
Brian Schales,Detroit Tigers,2021
Frank Schwindel,Detroit Tigers,2021
Kade Scivicque,Detroit Tigers,2021
Oscar Campos,Houston Astros,2021
Carlos Canelon,Houston Astros,2021
Dean Deetz,Houston Astros,2021
Osvaldo Duarte,Houston Astros,2021
Brendan McCurry,Houston Astros,2021
Jamie Ritchie,Houston Astros,2021
Abdiel Saldana,Houston Astros,2021
Nick Tanielu,Houston Astros,2021
Gabriel Valdez,Houston Astros,2021
Winston Abreu,Kansas City Royals,2021
Dawon Burt,Kansas City Royals,2021
Allan De San Miguel,Kansas City Royals,2021
Drew Ferguson,Kansas City Royals,2021
Angel Franco,Kansas City Royals,2021
Gerson Garabito,Kansas City Royals,2021
Conner Greene,Kansas City Royals,2021
Arnaldo Hernandez,Kansas City Royals,2021
Luis Hernandez,Kansas City Royals,2021
Tyler Hill,Kansas City Royals,2021
Nick Howard,Kansas City Royals,2021
Andres Machado,Kansas City Royals,2021
Yunior Marte,Kansas City Royals,2021
Randy Rosario,Kansas City Royals,2021
Franco Terrero,Kansas City Royals,2021
Chase Vallot,Kansas City Royals,2021
Rocky Gale,Los Angeles Dodgers,2021
Anthony Garcia,Los Angeles Dodgers,2021
Terrance Gore,Los Angeles Dodgers,2021
