internal_id,full_name,team,name_last,name_first,fa_class,key_fangraphs,mlb_played_first,mlb_played_last,position_cat,Season,Age,G,PA,TBF,played_in_fa_season,played_in_mlb,manual_check
3085,Josh Smith,BOS,smith,josh,2019-01-01,13629,2019-01-01,2020-01-01,pitcher,2020-01-01,30,2,,10,false,true,
3085,Josh Smith,BOS,smith,josh,2019-01-01,26396,2022-01-01,2024-01-01,pitcher,2023-01-01,25,90,232,,false,true,
3085,Josh Smith,BOS,smith,josh,2019-01-01,26396,2022-01-01,2024-01-01,pitcher,2022-01-01,24,73,253,,false,true,
3085,Josh Smith,BOS,smith,josh,2019-01-01,10946,2015-01-01,2020-01-01,pitcher,2015-01-01,27,10,10,,false,true,
3085,Josh Smith,BOS,smith,josh,2019-01-01,10946,2015-01-01,2020-01-01,pitcher,2016-01-01,28,33,11,,false,true,
3085,Josh Smith,BOS,smith,josh,2019-01-01,10946,2015-01-01,2020-01-01,pitcher,2017-01-01,29,26,0,,false,true,
3085,Josh Smith,BOS,smith,josh,2019-01-01,10946,2015-01-01,2020-01-01,pitcher,2019-01-01,31,18,0,,true,true,
3085,Josh Smith,BOS,smith,josh,2019-01-01,10946,2015-01-01,2020-01-01,pitcher,2020-01-01,32,16,0,,false,true,
3085,Josh Smith,BOS,smith,josh,2019-01-01,10946,2015-01-01,2020-01-01,pitcher,2017-01-01,29,26,,151,false,true,
3085,Josh Smith,BOS,smith,josh,2019-01-01,10946,2015-01-01,2020-01-01,pitcher,2015-01-01,27,9,,161,false,true,
3085,Josh Smith,BOS,smith,josh,2019-01-01,10946,2015-01-01,2020-01-01,pitcher,2016-01-01,28,32,,260,false,true,
3085,Josh Smith,BOS,smith,josh,2019-01-01,10946,2015-01-01,2020-01-01,pitcher,2020-01-01,32,16,,121,false,true,
3085,Josh Smith,BOS,smith,josh,2019-01-01,10946,2015-01-01,2020-01-01,pitcher,2019-01-01,31,18,,139,true,true,
1789,Erik Davis,WSN,davis,erik,2017-01-01,8422,2013-01-01,2013-01-01,pitcher,,,,,,false,true,
2806,Jon Kemmer,LAD,kemmer,jon,2020-01-01,,,,batter,,,,,,false,false,
5132,Tim Dillard,MIL,dillard,tim,2016-01-01,5518,2008-01-01,2012-01-01,pitcher,,,,,,false,true,
4582,Robbie Aviles,CLE,aviles,robbie,2018-01-01,,,,pitcher,,,,,,false,false,
3199,Justin Jackson,TOR,jackson,justin,2015-01-01,,,,pitcher,,,,,,false,false,
2747,Johan Mieses,BOS,mieses,johan,2023-01-01,,,,batter,,,,,,false,false,
142,Alex Blandino,CIN,blandino,alex,2022-01-01,16271,2018-01-01,2021-01-01,batter,2018-01-01,25,69,147,,false,true,
142,Alex Blandino,CIN,blandino,alex,2022-01-01,16271,2018-01-01,2021-01-01,batter,2019-01-01,26,23,50,,false,true,
142,Alex Blandino,CIN,blandino,alex,2022-01-01,16271,2018-01-01,2021-01-01,batter,2021-01-01,28,43,82,,false,true,
142,Alex Blandino,CIN,blandino,alex,2022-01-01,16271,2018-01-01,2021-01-01,batter,2018-01-01,25,1,,4,false,true,
142,Alex Blandino,CIN,blandino,alex,2022-01-01,16271,2018-01-01,2021-01-01,batter,2021-01-01,28,4,,18,false,true,
3235,Kaleb Cowart,NYY,cowart,kaleb,2022-01-01,11494,2015-01-01,2019-01-01,pitcher,2017-01-01,25,50,117,,false,true,
3235,Kaleb Cowart,NYY,cowart,kaleb,2022-01-01,11494,2015-01-01,2019-01-01,pitcher,2015-01-01,23,34,52,,false,true,
3235,Kaleb Cowart,NYY,cowart,kaleb,2022-01-01,11494,2015-01-01,2019-01-01,pitcher,2018-01-01,26,47,124,,false,true,
3235,Kaleb Cowart,NYY,cowart,kaleb,2022-01-01,11494,2015-01-01,2019-01-01,pitcher,2016-01-01,24,31,87,,false,true,
3235,Kaleb Cowart,NYY,cowart,kaleb,2022-01-01,11494,2015-01-01,2019-01-01,pitcher,2019-01-01,27,9,26,,false,true,
4064,Nate Adcock,CIN,adcock,nate,2016-01-01,,,,pitcher,,,,,,false,false,
17,Aaron Kurcz,OAK,kurcz,aaron,2017-01-01,,,,pitcher,,,,,,false,false,
2201,Ivan Hernandez,BAL,hernandez,ivan,2017-01-01,,,,pitcher,,,,,,false,false,
4119,Nick Ciuffo,CIN,ciuffo,nick,2020-01-01,16291,2018-01-01,2021-01-01,batter,2018-01-01,23,16,44,,false,true,
4119,Nick Ciuffo,CIN,ciuffo,nick,2020-01-01,16291,2018-01-01,2021-01-01,batter,2021-01-01,26,2,6,,false,true,
4119,Nick Ciuffo,CIN,ciuffo,nick,2020-01-01,16291,2018-01-01,2021-01-01,batter,2019-01-01,24,3,6,,false,true,
3841,Melvin Dorta*,WSN,dorta,melvin,2014-01-01,2562,2006-01-01,2006-01-01,batter,,,,,,false,true,
4397,R.J. Alaniz,HOU,alaniz,r.j.,2016-01-01,,,,pitcher,,,,,,false,false,
266,Andrew Burns,LAD,burns,andrew,2023-01-01,,,,batter,,,,,,false,false,
1872,Forrest Wall,SEA,wall,forrest,2023-01-01,16496,2023-01-01,2024-01-01,batter,2023-01-01,27,15,15,,true,true,
4732,Ryan Hafner,MIA,hafner,ryan,2016-01-01,,,,pitcher,,,,,,false,false,
5306,Tyler Herron,NYM,herron,tyler,2017-01-01,,,,pitcher,,,,,,false,false,
3678,Mark Serrano,ARI,serrano,mark,2015-01-01,,,,pitcher,,,,,,false,false,
1807,Esmerling de la Rosa,MIA,de la rosa,esmerling,2019-01-01,,,,pitcher,,,,,,false,false,
400,Arnaldo Hernandez,KCR,hernandez,arnaldo,2021-01-01,,,,N/A,,,,,,false,false,
623,Brennan Boesch,BOS,boesch,brennan,2017-01-01,914,2010-01-01,2015-01-01,batter,2014-01-01,29,27,79,,false,true,
623,Brennan Boesch,BOS,boesch,brennan,2017-01-01,914,2010-01-01,2015-01-01,batter,2015-01-01,30,51,94,,false,true,
4445,Ramon Ramirez,BAL,ramirez,ramon,2015-01-01,,,,pitcher,,,,,,false,false,
1720,Ely Echarry,TBR,echarry,ely,2016-01-01,,,,pitcher,,,,,,false,false,
4944,Sharlon Schoop,BAL,schoop,sharlon,2015-01-01,,,,batter,,,,,,false,false,
3484,Lorenzo Cedrola,CIN,cedrola,lorenzo,2023-01-01,,,,batter,,,,,,false,false,
2547,Jeremy Hazelbaker,MIN,hazelbaker,jeremy,2019-01-01,9399,2016-01-01,2017-01-01,batter,2017-01-01,29,41,61,,false,true,
2547,Jeremy Hazelbaker,MIN,hazelbaker,jeremy,2019-01-01,9399,2016-01-01,2017-01-01,batter,2016-01-01,28,114,224,,false,true,
2484,Jean Cosme,SDP,cosme,jean,2021-01-01,,,,N/A,,,,,,false,false,
1171,Cory Wade,NYM,wade,cory,2014-01-01,7570,2008-01-01,2012-01-01,pitcher,,,,,,false,true,
5492,Wynston Sawyer,BAL,sawyer,wynston,2017-01-01,,,,batter,,,,,,false,false,
928,Charlie Tilson,PHI,tilson,charlie,2022-01-01,12983,2016-01-01,2019-01-01,batter,2016-01-01,23,1,2,,false,true,
928,Charlie Tilson,PHI,tilson,charlie,2022-01-01,12983,2016-01-01,2019-01-01,batter,2018-01-01,25,41,121,,false,true,
928,Charlie Tilson,PHI,tilson,charlie,2022-01-01,12983,2016-01-01,2019-01-01,batter,2019-01-01,26,54,157,,false,true,
5113,Tim Adleman,DET,adleman,tim,2021-01-01,10968,2016-01-01,2017-01-01,N/A,2016-01-01,28,13,23,,false,true,
5113,Tim Adleman,DET,adleman,tim,2021-01-01,10968,2016-01-01,2017-01-01,N/A,2017-01-01,29,30,32,,false,true,
5113,Tim Adleman,DET,adleman,tim,2021-01-01,10968,2016-01-01,2017-01-01,N/A,2016-01-01,28,13,,287,false,true,
5113,Tim Adleman,DET,adleman,tim,2021-01-01,10968,2016-01-01,2017-01-01,N/A,2017-01-01,29,30,,531,false,true,
3302,Kevin Martir,PHI,martir,kevin,2019-01-01,,,,batter,,,,,,false,false,
2325,Jake Lowery,WSN,lowery,jake,2020-01-01,,,,batter,,,,,,false,false,
4472,Ray Chang,CIN,chang,ray,2016-01-01,,,,batter,,,,,,false,false,
2260,Jacob Lindgren,ATL,lindgren,jacob,2019-01-01,16215,2015-01-01,2015-01-01,pitcher,2015-01-01,22,7,0,,false,true,
2260,Jacob Lindgren,ATL,lindgren,jacob,2019-01-01,16215,2015-01-01,2015-01-01,pitcher,2015-01-01,22,7,,29,false,true,
2950,Jose Espada,BOS,espada,jose,2022-01-01,21131,2023-01-01,2023-01-01,pitcher,2023-01-01,26,1,0,,false,true,
2950,Jose Espada,BOS,espada,jose,2022-01-01,21131,2023-01-01,2023-01-01,pitcher,2023-01-01,26,1,,5,false,true,
4600,Robert Perez Jr.,SEA,perez jr.,robert,2024-01-01,,,,batter,,,,,,false,false,
2454,Jason Martinson,WSN,martinson,jason,2017-01-01,,,,batter,,,,,,false,false,
3140,Juan Perez,CHC,perez,juan,2017-01-01,,,,batter,,,,,,false,false,
728,Bryan Petersen,TEX,petersen,bryan,2015-01-01,2567,2010-01-01,2012-01-01,batter,,,,,,false,true,
407,Asher Wojciechowski,MIA,wojciechowski,asher,2017-01-01,10836,2015-01-01,2021-01-01,pitcher,2015-01-01,26,5,0,,false,true,
407,Asher Wojciechowski,MIA,wojciechowski,asher,2017-01-01,10836,2015-01-01,2021-01-01,pitcher,2017-01-01,28,25,14,,true,true,
407,Asher Wojciechowski,MIA,wojciechowski,asher,2017-01-01,10836,2015-01-01,2021-01-01,pitcher,2019-01-01,30,17,1,,false,true,
407,Asher Wojciechowski,MIA,wojciechowski,asher,2017-01-01,10836,2015-01-01,2021-01-01,pitcher,2020-01-01,31,10,0,,false,true,
407,Asher Wojciechowski,MIA,wojciechowski,asher,2017-01-01,10836,2015-01-01,2021-01-01,pitcher,2021-01-01,32,1,0,,false,true,
407,Asher Wojciechowski,MIA,wojciechowski,asher,2017-01-01,10836,2015-01-01,2021-01-01,pitcher,2017-01-01,28,25,,279,true,true,
407,Asher Wojciechowski,MIA,wojciechowski,asher,2017-01-01,10836,2015-01-01,2021-01-01,pitcher,2015-01-01,26,5,,79,false,true,
407,Asher Wojciechowski,MIA,wojciechowski,asher,2017-01-01,10836,2015-01-01,2021-01-01,pitcher,2019-01-01,30,17,,361,false,true,
407,Asher Wojciechowski,MIA,wojciechowski,asher,2017-01-01,10836,2015-01-01,2021-01-01,pitcher,2020-01-01,31,10,,168,false,true,
407,Asher Wojciechowski,MIA,wojciechowski,asher,2017-01-01,10836,2015-01-01,2021-01-01,pitcher,2021-01-01,32,1,,19,false,true,
668,Brian Gordon,OAK,gordon,brian,2014-01-01,2374,2008-01-01,2011-01-01,pitcher,,,,,,false,true,
5668,Zeke Spruill,BOS,spruill,zeke,2016-01-01,3873,2013-01-01,2014-01-01,pitcher,2014-01-01,24,6,5,,false,true,
5668,Zeke Spruill,BOS,spruill,zeke,2016-01-01,3873,2013-01-01,2014-01-01,pitcher,2014-01-01,24,6,,99,false,true,
2506,Jeff Kobernus,SFG,kobernus,jeff,2016-01-01,9591,2013-01-01,2014-01-01,batter,2014-01-01,26,4,8,,false,true,
1181,Cristian Alvarado,BAL,alvarado,cristian,2021-01-01,,,,N/A,,,,,,false,false,
66,Aderlin Mejia,MIN,mejia,aderlin,2017-01-01,,,,batter,,,,,,false,false,
4373,Phillip Evans,CHC,evans,phillip,2020-01-01,12950,2017-01-01,2021-01-01,batter,2017-01-01,24,19,38,,false,true,
4373,Phillip Evans,CHC,evans,phillip,2020-01-01,12950,2017-01-01,2021-01-01,batter,2018-01-01,25,15,23,,false,true,
4373,Phillip Evans,CHC,evans,phillip,2020-01-01,12950,2017-01-01,2021-01-01,batter,2020-01-01,27,11,45,,true,true,
4373,Phillip Evans,CHC,evans,phillip,2020-01-01,12950,2017-01-01,2021-01-01,batter,2021-01-01,28,76,247,,false,true,
4373,Phillip Evans,CHC,evans,phillip,2020-01-01,12950,2017-01-01,2021-01-01,batter,2021-01-01,28,1,,3,false,true,
2601,Jesus Lopez,TOR,lopez,jesus,2021-01-01,,,,N/A,,,,,,false,false,
1056,Claudio Custodio,ATL,custodio,claudio,2021-01-01,,,,N/A,,,,,,false,false,
4809,Sam Moll,SFG,moll,sam,2021-01-01,14874,2017-01-01,2024-01-01,N/A,2017-01-01,25,11,0,,false,true,
4809,Sam Moll,SFG,moll,sam,2021-01-01,14874,2017-01-01,2024-01-01,N/A,2021-01-01,29,8,0,,true,true,
4809,Sam Moll,SFG,moll,sam,2021-01-01,14874,2017-01-01,2024-01-01,N/A,2022-01-01,30,53,0,,false,true,
4809,Sam Moll,SFG,moll,sam,2021-01-01,14874,2017-01-01,2024-01-01,N/A,2023-01-01,31,70,0,,false,true,
4809,Sam Moll,SFG,moll,sam,2021-01-01,14874,2017-01-01,2024-01-01,N/A,2017-01-01,25,11,,35,false,true,
4809,Sam Moll,SFG,moll,sam,2021-01-01,14874,2017-01-01,2024-01-01,N/A,2023-01-01,31,70,,268,false,true,
4809,Sam Moll,SFG,moll,sam,2021-01-01,14874,2017-01-01,2024-01-01,N/A,2022-01-01,30,53,,187,false,true,
4809,Sam Moll,SFG,moll,sam,2021-01-01,14874,2017-01-01,2024-01-01,N/A,2021-01-01,29,8,,44,true,true,
