internal_id,full_name,team,name_last,name_first,fa_class,key_fangraphs,key_bbref_minors,mlb_played_first,mlb_played_last,pro_played_first,pro_played_last,position,position_cat,chadwick_returned
45,Austin Bibens-Dirkx,TEX,Bibens-Dirkx,Austin,2018,9559,bibens001aus,2017,2018,2006,2022,RHP,pitcher,one
433,Paolo Espino,TEX,Espino,Paolo,2018,8246,espino001pao,2017,2024,2007,2024,RHP,pitcher,one
457,Richelson Pena,TEX,Peña,Richelson,2018,,pena--003ric,,,2011,2024,RHP,pitcher,one
298,Jose Valdespina,TEX,Valdespina,Jose,2018,,valdes003jos,,,2011,2017,RHP,pitcher,one
322,Kelvin Vasquez,TEX,Vasquez,Kelvin,2018,,vasque000kel,,,2011,2019,RHP,pitcher,one
19,Allen Webster,TEX,Webster,Allen,2018,3993,webste001car,2013,2019,2008,2019,RHP,pitcher,one
140,Dario Alvarez,TEX,Alvarez,Dario,2018,14239,alvare001dar,2014,2017,2007,2022,LHP,pitcher,zero
7,Adam Loewen,TEX,Loewen,Adam,2018,2134,loewen001ada,2006,2016,2003,2018,LHP,pitcher,one
271,Jimmy Reyes,TEX,Reyes,Jimmy,2018,,reyes-001jam,,,2010,2017,LHP,pitcher,one
67,Brett Hayes,TEX,Hayes,Brett,2018,4293,hayes-001bre,2009,2015,2005,2017,C,batter,one
1,A.J. Jimenez,TEX,Jiménez,A. J.,2018,7077,jimene002ant,2017,2017,2008,2019,C,batter,one
503,Steve Lerud,TEX,Lerud,Steve,2018,113,lerud-001ste,2012,2013,2004,2016,C,batter,zero
330,Kevin Torres,TEX,Torres,Kevin,2018,,torres001kev,,,2008,2019,C,batter,one
185,Eric Aguilera,TEX,Aguilera,Eric,2018,,aguile000eri,,,2013,2021,1B,batter,one
160,Doug Bernier,TEX,Bernier,Doug,2018,4518,bernie001dou,2008,2015,2002,2017,SS,batter,one
178,Elio Castillo,TEX,Castillo,Elio,2018,,castil000eli,,,2011,2017,SS,batter,one
354,Luis Marte,TEX,Marté,Luis,2018,14515,marte-005lui,2021,2021,2011,2021,SS,batter,one
356,Luis Mendez,TEX,Mendez,Luis,2018,,mendez006lui,,,2010,2018,SS,batter,one
249,Jared Hoying,TEX,Hoying,Jared,2018,10882,hoying001jar,2016,2021,2010,2021,OF,batter,one
373,Matt Lipka,TEX,Lipka,Matt,2018,,lipka-003mat,,,2010,2022,OF,batter,one
342,Leonel Campos,TOR,Campos,Leonel,2018,12277,campos000leo,2014,2017,2010,2023,RHP,pitcher,one
133,Daniel Canellas,TOR,Canellas,Daniel,2018,,canell000dan,,,2014,2015,RHP,pitcher,zero
10,Adonys Cardona,TOR,Cardona,Adonys,2018,,cardon000ado,,,2011,2018,RHP,pitcher,one
507,Taylor Cole,TOR,Cole,Taylor,2018,11964,cole--001tay,2017,2019,2011,2022,RHP,pitcher,one
54,Blake McFarland,TOR,McFarland,Blake,2018,,mcfarl000bla,,,2011,2017,RHP,pitcher,one
359,Luis Santos,TOR,Santos,Luis,2018,15006,santos005lui,2017,2018,2011,2024,RHP,pitcher,one
56,Bo Schultz,TOR,Schultz,Bo,2018,5028,schult001pat,2014,2016,2008,2018,RHP,pitcher,one
104,Chris Smith,TOR,Smith,Chris,2018,14449,smith-011chr,2017,2017,2010,2020,RHP,pitcher,one
403,Murphy Smith,TOR,Smith,Murphy,2018,9812,smith-001mur,2018,2018,2009,2018,RHP,pitcher,one
283,John Stilson,TOR,Stilson,John,2018,,stilso001joh,,,2012,2017,RHP,pitcher,one
284,John Straka,TOR,Straka,John,2018,,straka000joh,,,2013,2021,RHP,pitcher,one
324,Kender Villegas,TOR,Villegas,Kender,2018,,villeg001ken,,,2010,2022,RHP,pitcher,one
440,Philip Walby,TOR,Walby,Philip,2018,,walby-001phi,,,2013,2019,RHP,pitcher,one
210,George Carroll,TOR,Carroll,George,2018,,carrol002geo,,,2011,2013,C,batter,one
352,Luis Liriano,TOR,Liriano,Luis,2018,,lirian000lui,,,2015,2016,C,batter,one
444,Rafael Lopez,TOR,Lopez,Rafael,2018,12606,lopez-008raf,2014,2018,2011,2019,C,batter,one
295,Jose Mayorga,TOR,Mayorga,Jose,2018,,mayorg001jos,,,2010,2015,C,batter,one
