internal_id,full_name,team,name_last,name_first,fa_class,key_fangraphs,key_bbref_minors,mlb_played_first,mlb_played_last,pro_played_first,pro_played_last,position_cat,chadwick_returned
4365,Peter Tago,CHW,Tago,Peter,2017,,,,,,,pitcher,zero
2267,Jacob Turner,CHW,Turner,Jacob,2017,10185,turner002jac,2011,2018,2010,2019,pitcher,one
1012,Chris Volstad,CHW,Volstad,Chris,2017,9901,volsta001chr,2008,2018,2005,2018,pitcher,one
5557,Yojensy Arias,CHW,Arias,Yojensy,2017,,arias-000yoj,,,2012,2016,pitcher,one
637,Brett Hayes,CHW,Hayes,Brett,2017,4293,hayes-001bre,2009,2015,2005,2017,batter,one
3644,Marcus Lemon,CHW,Lemon,Marcus,2017,,lemon-001mar,,,2006,2017,batter,one
295,Andy Parrino,CHW,Parrino,Andy,2017,3972,parrin001and,2011,2015,2007,2016,batter,one
2426,Jason Bourgeois,CHW,Bourgeois,Jason,2017,2225,bourge001jas,2008,2015,2000,2018,batter,one
5184,Tony Campana,CHW,Campana,Tony,2017,4964,campan001ton,2011,2014,2008,2021,batter,one
4985,Slade Heathcott,CHW,Heathcott,Slade,2017,10336,heathc001zac,2015,2015,2009,2018,batter,one
1813,Eudy Pina,CHW,Pina,Eudy,2017,,pina--001eud,,,2009,2016,batter,one
3074,Josh Richmond,CHW,Richmond,Josh,2017,,richmo001jos,,,2010,2016,batter,one
2206,J.B. Shuck,CHW,Shuck,JB,2017,6677,shuck-001jac,2011,2019,2008,2019,batter,one
770,Caleb Cotham,CIN,Cotham,Caleb,2017,10075,cotham001cal,2015,2016,2009,2016,pitcher,one
1405,Dayan Diaz,CIN,Díaz,Dayán,2017,11543,diaz--001day,2016,2017,2006,2018,pitcher,one
1543,Drew Hayes,CIN,Hayes,Drew,2017,10528,hayes-001and,2016,2016,2010,2017,pitcher,one
3755,Matt Magill,CIN,Magill,Matt,2017,3950,magill001mat,2013,2020,2008,2020,pitcher,one
5144,Tim Melville,CIN,Melville,Tim,2017,9149,melvil001tim,2016,2019,2009,2023,pitcher,one
3,A.J. Morris,CIN,Morris,A. J.,2017,9919,morris001aj-,2016,2016,2009,2016,pitcher,one
1721,El’Hajj Muhammad,CIN,Muhammad,El'Hajj,2017,,muhamm001elh,,,2010,2019,pitcher,one
3315,Kevin Shackelford,CIN,Shackelford,Kevin,2017,11012,shacke001kev,2017,2018,2010,2021,pitcher,one
4351,Pedro Villarreal,CIN,Villarreal,Pedro,2017,9904,villar002ped,2012,2015,2008,2018,pitcher,one
956,Chris Berset,CIN,Berset,Chris,2017,,berset001chr,,,2010,2016,batter,one
4414,Rafael Lopez,CIN,Lopez,Rafael,2017,12606,lopez-008raf,2014,2018,2011,2019,batter,one
4649,Ronald Bueno,CIN,Bueno,Ronald,2017,,bueno-001ron,,,2010,2017,batter,one
4470,Ray Chang,CIN,Chang,Ray,2017,,chang-001ray,,,2005,2016,batter,one
2127,Hernan Iribarren,CIN,Iribarren,Hernán,2017,4177,iribar001her,2008,2016,2004,2018,batter,one
2565,Jermaine Curtis,CIN,Curtis,Jermaine,2017,7765,curtis001jer,2013,2013,2008,2020,batter,one
