internal_id,player_name,first_name_lower,last_name_lower,team,fa_class,position,normed_position,minor_league_level
2135,Hiram Burgos,hiram,burgos,MIL,2017-01-01,RHP,pitcher,AAA
5127,Tim Dillard,tim,dillard,MIL,2017-01-01,RHP,pitcher,AAA
702,Brooks Hall,brooks,hall,MIL,2017-01-01,RHP,pitcher,AAA
436,Austin Ross,austin,ross,MIL,2017-01-01,RHP,pitcher,AAA
470,Ben Rowen,ben,rowen,MIL,2017-01-01,RHP,pitcher,AAA
1293,Daniel Tillman,daniel,tillman,MIL,2017-01-01,RHP,pitcher,AA
3266,Kender Villegas,kender,villegas,MIL,2017-01-01,RHP,pitcher,Hi A
4498,Rene Garcia,rene,garcia,MIL,2017-01-01,C,batter,AA
3890,Michael McKenry,michael,mckenry,MIL,2017-01-01,C,batter,AAA
3100,Josmil Pinto,josmil,pinto,MIL,2017-01-01,C,batter,AAA
299,Andy Wilkins,andy,wilkins,MIL,2017-01-01,1B,batter,AAA
5159,Tom Belza,tom,belza,MIL,2017-01-01,3B,batter,AA
1960,Garin Cecchini,garin,cecchini,MIL,2017-01-01,3B,batter,AAA
4439,Ramon Flores,ramon,flores,MIL,2017-01-01,OF,batter,AAA
4933,Shane Peterson,shane,peterson,MIL,2017-01-01,OF,batter,AAA
2418,Jason Adam,jason,adam,MIN,2017-01-01,RHP,pitcher,AA
4219,Omar Bencomo,omar,bencomo,MIN,2017-01-01,RHP,pitcher,AAA
1671,Edward Mujica,edward,mujica,MIN,2017-01-01,RHP,pitcher,AAA
4094,Neil Ramirez,neil,ramirez,MIN,2017-01-01,RHP,pitcher,AAA
3648,Marcus Walden,marcus,walden,MIN,2017-01-01,RHP,pitcher,AAA
180,Alex Wimmers,alex,wimmers,MIN,2017-01-01,RHP,pitcher,AAA
3467,Logan Darnell,logan,darnell,MIN,2017-01-01,LHP,pitcher,AAA
4287,Pat Dean,pat,dean,MIN,2017-01-01,LHP,pitcher,AAA
4136,Nick Greenwood,nick,greenwood,MIN,2017-01-01,LHP,pitcher,AAA
831,Carlos Paulino,carlos,paulino,MIN,2017-01-01,C,batter,AAA
5533,Yeison Perez,yeison,perez,MIN,2017-01-01,C,batter,DSL
2286,Jairo Rodriguez,jairo,rodriguez,MIN,2017-01-01,C,batter,AA
2351,James Beresford,james,beresford,MIN,2017-01-01,2B,batter,AAA
5172,Tommy Field,tommy,field,MIN,2017-01-01,2B,batter,AAA
