internal_id,player_name,first_name,last_name,has_suffix,team,fa_class,position,normed_position,minor_league_level
3765,Matt Murton,Matt,Murton,false,CHC,2017,OF,batter,AAA
3140,Juan Perez,Juan,Perez,false,CHC,2017,OF,batter,AAA
3921,Miguel Chalas,Miguel,Chalas,false,CHW,2017,RHP,pitcher,AAA
3737,Matt Heidenreich,Matt,Heidenreich,false,CHW,2017,RHP,pitcher,AA
2773,John Holdzkom,John,Holdzkom,false,CHW,2017,RHP,pitcher,AAA
1106,Colin Kleven,Colin,Kleven,false,CHW,2017,RHP,pitcher,AA
1812,Euclides Leyer,Euclides,Leyer,false,CHW,2017,RHP,pitcher,AA
3237,Kameron Loe,Kameron,Loe,false,CHW,2017,RHP,pitcher,AAA
3752,Matt Lollis,Matt,Lollis,false,CHW,2017,RHP,pitcher,AAA
3036,Joselo Pinales,Joselo,Pinales,false,CHW,2017,RHP,pitcher,DSL
4365,Peter Tago,Peter,Tago,false,CHW,2017,RHP,pitcher,AA
2267,Jacob Turner,Jacob,Turner,false,CHW,2017,RHP,pitcher,AAA
1012,Chris Volstad,Chris,Volstad,false,CHW,2017,RHP,pitcher,AAA
5557,Yojensy Arias,Yojensy,Arias,false,CHW,2017,LHP,pitcher,DSL
637,Brett Hayes,Brett,Hayes,false,CHW,2017,C,batter,AAA
3644,Marcus Lemon,Marcus,Lemon,false,CHW,2017,SS,batter,AA
295,Andy Parrino,Andy,Parrino,false,CHW,2017,SS,batter,AAA
2426,Jason Bourgeois,Jason,Bourgeois,false,CHW,2017,OF,batter,AAA
5184,Tony Campana,Tony,Campana,false,CHW,2017,OF,batter,AAA
4985,Slade Heathcott,Slade,Heathcott,false,CHW,2017,OF,batter,AAA
1813,Eudy Pina,Eudy,Pina,false,CHW,2017,OF,batter,AA
3074,Josh Richmond,Josh,Richmond,false,CHW,2017,OF,batter,AA
2206,J.B. Shuck,J. B.,Shuck,false,CHW,2017,OF,batter,AAA
770,Caleb Cotham,Caleb,Cotham,false,CIN,2017,RHP,pitcher,AAA
1405,Dayan Diaz,Dayan,Diaz,false,CIN,2017,RHP,pitcher,AAA
1543,Drew Hayes,Drew,Hayes,false,CIN,2017,RHP,pitcher,AAA
3755,Matt Magill,Matt,Magill,false,CIN,2017,RHP,pitcher,AAA
5144,Tim Melville,Tim,Melville,false,CIN,2017,RHP,pitcher,AAA
3,A.J. Morris,A. J.,Morris,false,CIN,2017,RHP,pitcher,AAA
1721,El’Hajj Muhammad,El’Hajj,Muhammad,false,CIN,2017,RHP,pitcher,AA
3315,Kevin Shackelford,Kevin,Shackelford,false,CIN,2017,RHP,pitcher,AAA
4351,Pedro Villarreal,Pedro,Villarreal,false,CIN,2017,RHP,pitcher,AAA
956,Chris Berset,Chris,Berset,false,CIN,2017,C,batter,AAA
4414,Rafael Lopez,Rafael,Lopez,false,CIN,2017,C,batter,AAA
4649,Ronald Bueno,Ronald,Bueno,false,CIN,2017,2B,batter,AA
4470,Ray Chang,Ray,Chang,false,CIN,2017,2B,batter,AA
2127,Hernan Iribarren,Hernan,Iribarren,false,CIN,2017,2B,batter,AAA
2565,Jermaine Curtis,Jermaine,Curtis,false,CIN,2017,3B,batter,AAA
858,Carlos Triunfel,Carlos,Triunfel,false,CIN,2017,SS,batter,AAA
3118,Juan Duran,Juan,Duran,false,CIN,2017,OF,batter,Hi A
1515,Donald Lutz,Donald,Lutz,false,CIN,2017,OF,batter,AAA
5571,Yorman Rodriguez,Yorman,Rodriguez,false,CIN,2017,OF,batter,AAA
3393,Kyle Waldrop,Kyle,Waldrop,false,CIN,2017,OF,batter,AAA
5241,Trevor Foss,Trevor,Foss,false,CLE,2017,RHP,pitcher,Lo A
4950,Shawn Haviland,Shawn,Haviland,false,CLE,2017,RHP,pitcher,AAA
1176,Craig Stammen,Craig,Stammen,false,CLE,2017,RHP,pitcher,AAA
880,Casey Weathers,Casey,Weathers,false,CLE,2017,RHP,pitcher,AA
5054,T.J. House,T. J.,House,false,CLE,2017,LHP,pitcher,AAA
3586,Luke Carlin,Luke,Carlin,false,CLE,2017,C,batter,SS
164,Alex Monsalve,Alex,Monsalve,false,CLE,2017,C,batter,AA
48,Adam Moore,Adam,Moore,false,CLE,2017,C,batter,AAA
2060,Guillermo Quiroz,Guillermo,Quiroz,false,CLE,2017,C,batter,AAA
