player_name,team,fa_class,position,minor_league_level,internal_id,first_name_lower,last_name_lower,normed_position
Ronny Paulino,Detroit Tigers,2013,C,AAA,1420,ronny,paulino,batter
Lance Durham,Detroit Tigers,2013,1B,Lo A,1028,lance,durham,batter
Marcus Lemon,Detroit Tigers,2013,2B,AA,1101,marcus,lemon,batter
Kevin Russo,Detroit Tigers,2013,2B,AAA,1000,kevin,russo,batter
Mike Cervenak,Detroit Tigers,2013,3B,AAA,1203,mike,cervenak,batter
Argenis Diaz,Detroit Tigers,2013,SS,AAA,115,argenis,diaz,batter
Luis Castillo,Detroit Tigers,2013,OF,AA,1061,luis,castillo,batter
Danny Dorn,Detroit Tigers,2013,OF,AAA,409,danny,dorn,batter
Murilo Gouvea,Houston Astros,2013,RHP,Hi A,1241,murilo,gouvea,pitcher
Cameron Lamb,Houston Astros,2013,RHP,Hi A,260,cameron,lamb,pitcher
Carlos Quevedo,Houston Astros,2013,RHP,Hi A,275,carlos,quevedo,pitcher
Sergio Escalona,Houston Astros,2013,LHP,Hi A,1504,sergio,escalona,pitcher
Luis Alvarez,Houston Astros,2013,C,Hi A,1059,luis,alvarez,batter
Cody Clark,Houston Astros,2013,C,AAA,344,cody,clark,batter
Jose Martinez,Houston Astros,2013,2B,AAA,886,jose,martinez,batter
Michael Burgess,Houston Astros,2013,OF,Hi A,1175,michael,burgess,batter
Che-Hsuan Lin,Houston Astros,2013,OF,AAA,309,che-hsuan,lin,batter
Jason Bergmann,Kansas City Royals,2013,RHP,AA,706,jason,bergmann,pitcher
Santiago Garrido,Kansas City Royals,2013,RHP,AA,1471,santiago,garrido,pitcher
Devon Lowery*,Kansas City Royals,2013,RHP,AA,459,devon,lowery,pitcher
Clayton Mortensen,Kansas City Royals,2013,RHP,AAA,340,clayton,mortensen,pitcher
Julio Rodriguez,Kansas City Royals,2013,RHP,R,958,julio,rodriguez,pitcher
Sam Runion,Kansas City Royals,2013,RHP,AA,1466,sam,runion,pitcher
Brian Sanches,Kansas City Royals,2013,RHP,AAA,221,brian,sanches,pitcher
Leonel Santiago,Kansas City Royals,2013,RHP,Hi A,1042,leonel,santiago,pitcher
Zach Jackson,Kansas City Royals,2013,LHP,AAA,1686,zach,jackson,pitcher
Mitch Canham,Kansas City Royals,2013,C,AAA,1230,mitch,canham,batter
Manny Pina,Kansas City Royals,2013,C,AAA,1090,manny,pina,batter
Max Ramirez,Kansas City Royals,2013,C,AAA,1162,max,ramirez,batter
Ben Broussard,Kansas City Royals,2013,1B,AAA,137,ben,broussard,batter
Chase Lambin,Kansas City Royals,2013,2B,AAA,307,chase,lambin,batter
Rey Navarro,Kansas City Royals,2013,2B,AAA,1378,rey,navarro,batter
Lewis Urena,Kansas City Royals,2013,2B,R,1049,lewis,urena,batter
Anthony Seratelli,Kansas City Royals,2013,3B,AAA,106,anthony,seratelli,batter
Sharlon Schoop*,Kansas City Royals,2013,SS,AA,1513,sharlon,schoop,batter
Gorkys Hernandez,Kansas City Royals,2013,OF,AA,608,gorkys,hernandez,batter
Charles Thomas*,Kansas City Royals,2013,OF,Hi A,302,charles,thomas,batter
Edinson Rincon,Kansas City Royals,2013,OF,AA,510,edinson,rincon,batter
